LineItemID,OrderID,ItemID,Qty,DiscountID,Date,LocationID
80142,29534,13,1,,2022-01-01,L12
80143,29534,50,1,,2022-01-01,L12
80144,29534,45,1,,2022-01-01,L12
80145,29534,29,1,,2022-01-01,L12
80146,29374,51,1,D1,2022-01-01,L03
80147,29374,4,1,,2022-01-01,L03
80148,29374,12,1,,2022-01-01,L03
80149,28952,55,1,,2022-01-01,L08
80150,28952,52,1,,2022-01-01,L08
80151,28952,18,1,D3,2022-01-01,L08
80152,29572,6,1,,2022-01-01,L12
80153,29522,55,1,D3,2022-01-02,L12
80154,29522,54,1,,2022-01-02,L12
80155,29522,27,1,,2022-01-02,L12
80156,29522,35,1,,2022-01-02,L12
80157,28947,47,1,,2022-01-02,L11
80158,28873,11,1,,2022-01-02,L05
80159,28873,55,1,,2022-01-02,L05
80160,28873,21,1,,2022-01-02,L05
80161,28873,27,3,,2022-01-02,L05
80162,29602,40,1,,2022-01-02,L12
80163,29602,42,1,,2022-01-02,L12
80164,29602,13,1,,2022-01-02,L12
80165,29602,27,1,,2022-01-02,L12
80166,29352,21,1,,2022-01-03,L09
80167,29426,42,1,,2022-01-03,L05
80168,29426,51,1,,2022-01-03,L05
80169,28896,25,1,,2022-01-03,L10
80170,28896,21,1,,2022-01-03,L10
80171,29277,55,1,,2022-01-03,L01
80172,29536,54,1,,2022-01-04,L12
80173,29536,50,1,,2022-01-04,L12
80174,29536,36,1,,2022-01-04,L12
80175,29536,18,1,,2022-01-04,L12
80176,29274,40,1,,2022-01-04,L02
80177,29274,24,1,,2022-01-04,L02
80178,29274,42,1,,2022-01-04,L02
80179,29464,19,1,,2022-01-04,L04
80180,29464,51,1,,2022-01-04,L04
80181,29059,44,1,,2022-01-04,L08
80182,29059,41,1,,2022-01-04,L08
80183,29322,43,1,,2022-01-04,L03
80184,29570,59,1,,2022-01-05,L12
80185,29570,20,1,,2022-01-05,L12
80186,29570,51,1,,2022-01-05,L12
80187,29570,4,1,,2022-01-05,L12
80188,28955,61,1,,2022-01-06,L01
80189,28955,9,1,,2022-01-06,L01
80190,28955,36,1,,2022-01-06,L01
80191,29617,46,1,,2022-01-06,L12
80192,29617,52,1,,2022-01-06,L12
80193,29615,46,1,,2022-01-06,L12
80194,29615,33,1,,2022-01-06,L12
80195,29049,11,1,,2022-01-06,L07
80196,28885,25,1,,2022-01-06,L10
80197,28885,33,1,D1,2022-01-06,L10
80198,28885,5,1,,2022-01-06,L10
80199,28979,49,1,D3,2022-01-06,L03
80200,28979,41,1,,2022-01-06,L03
80201,28979,24,1,,2022-01-06,L03
80202,29565,50,1,,2022-01-07,L12
80203,29010,50,1,,2022-01-08,L11
80204,29085,47,1,,2022-01-08,L01
80205,29085,1,1,,2022-01-08,L01
80206,29544,48,1,,2022-01-09,L12
80207,29544,44,1,,2022-01-09,L12
80208,29544,20,1,,2022-01-09,L12
80209,29175,22,1,,2022-01-09,L08
80210,29524,36,1,,2022-01-11,L12
80211,29524,49,1,,2022-01-11,L12
80212,29524,60,1,,2022-01-11,L12
80213,29087,38,1,,2022-01-11,L05
80214,29087,27,1,,2022-01-11,L05
80215,29087,2,1,,2022-01-11,L05
80216,29087,19,1,,2022-01-11,L05
80217,29382,52,1,,2022-01-12,L06
80218,29564,15,1,,2022-01-13,L12
80219,29564,18,1,,2022-01-13,L12
80220,29564,3,1,,2022-01-13,L12
80221,29564,20,1,,2022-01-13,L12
80222,29371,39,1,,2022-01-13,L11
80223,29371,43,1,,2022-01-13,L11
80224,29371,47,1,,2022-01-13,L11
80225,29062,31,1,,2022-01-13,L10
80226,29062,11,1,,2022-01-13,L10
80227,29062,20,1,,2022-01-13,L10
80228,29532,12,1,,2022-01-14,L12
80229,29532,10,1,,2022-01-14,L12
80230,29532,2,1,,2022-01-14,L12
80231,28970,3,1,,2022-01-14,L08
80232,28970,2,1,,2022-01-14,L08
80233,28998,38,1,,2022-01-14,L02
80234,28998,26,1,,2022-01-14,L02
80235,28998,18,1,,2022-01-14,L02
80236,28998,42,1,,2022-01-14,L02
80237,29511,5,1,,2022-01-14,L12
80238,29511,28,1,,2022-01-14,L12
80239,29526,8,1,,2022-01-15,L12
80240,29526,58,1,,2022-01-15,L12
80241,29526,50,1,,2022-01-15,L12
80242,29597,2,1,,2022-01-16,L12
80243,29597,16,1,,2022-01-16,L12
80244,29566,48,1,,2022-01-16,L12
80245,29566,52,1,,2022-01-16,L12
80246,29566,28,1,,2022-01-16,L12
80247,29566,24,1,D2,2022-01-16,L12
80248,29549,32,1,,2022-01-16,L12
80249,29549,4,1,,2022-01-16,L12
80250,29549,29,1,,2022-01-16,L12
80251,29549,48,3,,2022-01-16,L12
80252,29560,55,3,D1,2022-01-17,L12
80253,29560,2,1,,2022-01-17,L12
80254,29560,22,2,,2022-01-17,L12
80255,29560,45,1,,2022-01-17,L12
80256,29529,35,1,,2022-01-17,L12
80257,29529,59,1,,2022-01-17,L12
80258,29517,60,1,,2022-01-17,L12
80259,29517,55,1,,2022-01-17,L12
80260,29517,3,1,,2022-01-17,L12
80261,29517,16,1,,2022-01-17,L12
80262,29378,57,1,,2022-01-18,L01
80263,29378,59,1,,2022-01-18,L01
80264,29378,53,1,,2022-01-18,L01
80265,29378,54,1,,2022-01-18,L01
80266,29588,45,1,,2022-01-18,L12
80267,29588,10,1,,2022-01-18,L12
80268,29460,12,1,D3,2022-01-18,L05
80269,29460,17,1,,2022-01-18,L05
80270,29460,39,1,,2022-01-18,L05
80271,29460,9,1,,2022-01-18,L05
80272,29510,54,1,,2022-01-18,L12
80273,29510,6,1,,2022-01-18,L12
80274,29510,60,1,,2022-01-18,L12
80275,29510,23,1,,2022-01-18,L12
80276,29360,57,1,,2022-01-19,L06
80277,29360,44,1,,2022-01-19,L06
80278,29360,12,1,,2022-01-19,L06
80279,29360,42,1,,2022-01-19,L06
80280,29357,20,1,,2022-01-19,L05
80281,29357,12,1,,2022-01-19,L05
80282,29357,3,1,,2022-01-19,L05
80283,29558,59,1,,2022-01-19,L12
80284,29558,60,1,,2022-01-19,L12
80285,29222,8,1,,2022-01-19,L05
80286,29222,38,1,,2022-01-19,L05
80287,29222,25,1,D2,2022-01-19,L05
80288,29601,34,1,,2022-01-20,L12
80289,29601,24,1,,2022-01-20,L12
80290,29569,49,1,,2022-01-20,L12
80291,29569,36,1,D1,2022-01-20,L12
80292,29338,1,1,,2022-01-20,L05
80293,29338,40,1,,2022-01-20,L05
80294,29435,48,1,,2022-01-21,L11
80295,29435,12,1,,2022-01-21,L11
80296,29435,51,1,,2022-01-21,L11
80297,29435,49,1,,2022-01-21,L11
80298,29603,20,1,,2022-01-21,L12
80299,29603,6,1,,2022-01-21,L12
80300,29603,55,1,,2022-01-21,L12
80301,29603,38,1,,2022-01-21,L12
80302,29019,19,1,,2022-01-21,L08
80303,29019,16,1,,2022-01-21,L08
80304,29136,27,1,,2022-01-21,L05
80305,29136,45,1,,2022-01-21,L05
80306,29136,6,1,,2022-01-21,L05
80307,29126,31,1,,2022-01-22,L09
80308,29055,52,1,,2022-01-22,L07
80309,29114,52,1,,2022-01-22,L08
80310,29114,17,1,,2022-01-22,L08
80311,29114,49,1,,2022-01-22,L08
80312,29183,27,1,,2022-01-23,L04
80313,29518,13,1,,2022-01-24,L12
80314,29518,6,1,D1,2022-01-24,L12
80315,29518,38,3,,2022-01-24,L12
80316,29314,31,1,,2022-01-24,L03
80317,29314,58,1,,2022-01-24,L03
80318,29542,51,1,,2022-01-24,L12
80319,29542,4,1,D1,2022-01-24,L12
80320,29542,53,1,,2022-01-24,L12
80321,29542,44,1,,2022-01-24,L12
80322,29446,51,1,,2022-01-25,L03
80323,29152,6,1,,2022-01-25,L04
80324,29152,7,1,D1,2022-01-25,L04
80325,29548,45,1,,2022-01-25,L12
80326,29548,60,1,,2022-01-25,L12
80327,29548,17,1,,2022-01-25,L12
80328,29102,10,1,,2022-01-25,L10
80329,29563,30,1,,2022-01-26,L12
80330,29563,32,1,,2022-01-26,L12
80331,29563,20,1,,2022-01-26,L12
80332,28950,35,1,,2022-01-27,L01
80333,28950,20,1,,2022-01-27,L01
80334,29411,32,1,,2022-01-27,L08
80335,28926,14,1,,2022-01-27,L09
80336,28926,6,1,,2022-01-27,L09
80337,28926,26,1,,2022-01-27,L09
80338,28926,56,1,,2022-01-27,L09
80339,29342,50,1,,2022-01-27,L04
80340,29342,48,1,,2022-01-27,L04
80341,29342,39,1,,2022-01-27,L04
80342,29342,18,1,,2022-01-27,L04
80343,29513,22,1,,2022-01-27,L12
80344,29513,59,1,,2022-01-27,L12
80345,29513,25,1,,2022-01-27,L12
80346,29513,28,1,,2022-01-27,L12
80347,29238,8,1,,2022-01-28,L06
80348,29238,5,1,,2022-01-28,L06
80349,29607,8,1,,2022-01-28,L12
80350,29607,2,1,,2022-01-28,L12
80351,28985,54,1,,2022-01-29,L09
80352,28985,55,1,,2022-01-29,L09
80353,29247,32,1,,2022-01-30,L04
80354,29092,40,1,,2022-01-30,L04
80355,29149,18,1,,2022-01-30,L08
80356,29149,42,1,,2022-01-30,L08
80357,29113,11,1,,2022-01-31,L11
80358,29113,42,1,,2022-01-31,L11
80359,29113,15,1,,2022-01-31,L11
80360,28864,49,1,,2022-01-31,L03
80361,28864,27,1,,2022-01-31,L03
80362,29188,9,1,,2022-01-31,L03
80363,29188,5,1,,2022-01-31,L03
80364,29188,3,1,,2022-01-31,L03
80365,29188,8,1,,2022-01-31,L03
80366,29605,5,1,,2022-02-01,L12
80367,29605,14,1,,2022-02-01,L12
80368,29068,35,1,D1,2022-02-01,L08
80369,29068,25,1,,2022-02-01,L08
80370,29068,46,1,,2022-02-01,L08
80371,29068,40,1,D1,2022-02-01,L08
80372,29182,30,1,,2022-02-01,L08
80373,29182,27,1,,2022-02-01,L08
80374,29182,44,1,,2022-02-01,L08
80375,28974,14,1,,2022-02-02,L07
80376,28974,25,1,,2022-02-02,L07
80377,29181,56,1,,2022-02-02,L09
80378,28990,61,1,D1,2022-02-03,L07
80379,28990,33,1,,2022-02-03,L07
80380,28990,26,1,,2022-02-03,L07
80381,28990,57,1,,2022-02-03,L07
80382,28919,18,1,,2022-02-03,L01
80383,28919,35,1,,2022-02-03,L01
80384,28919,53,1,,2022-02-03,L01
80385,28919,28,1,,2022-02-03,L01
80386,29531,46,1,,2022-02-04,L12
80387,29531,23,1,,2022-02-04,L12
80388,29611,61,1,,2022-02-06,L12
80389,28978,20,1,,2022-02-07,L01
80390,28978,46,1,,2022-02-07,L01
80391,28978,37,1,,2022-02-07,L01
80392,29229,47,1,,2022-02-08,L07
80393,29229,36,1,,2022-02-08,L07
80394,29229,31,1,,2022-02-08,L07
80395,29229,43,1,,2022-02-08,L07
80396,29234,11,1,,2022-02-08,L07
80397,29330,61,1,,2022-02-08,L02
80398,29582,52,1,,2022-02-08,L12
80399,29582,18,1,,2022-02-08,L12
80400,29582,28,1,,2022-02-08,L12
80401,29419,40,1,,2022-02-08,L11
80402,29419,7,1,,2022-02-08,L11
80403,29419,25,1,D2,2022-02-08,L11
80404,29440,7,1,,2022-02-09,L04
80405,29440,10,1,,2022-02-09,L04
80406,29550,34,1,,2022-02-09,L12
80407,29550,13,1,,2022-02-09,L12
80408,29550,30,1,,2022-02-09,L12
80409,29550,41,1,,2022-02-09,L12
80410,29553,34,1,,2022-02-09,L12
80411,29553,52,1,,2022-02-09,L12
80412,29553,38,1,,2022-02-09,L12
80413,29553,41,1,,2022-02-09,L12
80414,29038,16,1,,2022-02-09,L02
80415,29535,54,1,,2022-02-10,L12
80416,29523,56,1,,2022-02-10,L12
80417,29592,30,1,,2022-02-10,L12
80418,29592,17,1,,2022-02-10,L12
80419,29592,28,1,,2022-02-10,L12
80420,29592,2,1,D1,2022-02-10,L12
80421,29292,22,1,,2022-02-10,L07
80422,29292,14,1,,2022-02-10,L07
80423,29292,42,1,,2022-02-10,L07
80424,29387,8,1,D2,2022-02-10,L07
80425,29240,4,1,,2022-02-10,L06
80426,29240,18,1,,2022-02-10,L06
80427,29240,36,1,,2022-02-10,L06
80428,29555,1,1,,2022-02-11,L12
