LineItemID,OrderID,ItemID,Qty,DiscountID
52795,16715,13,1,
52796,16715,40,1,
52797,16715,44,1,
52798,16715,37,1,
52799,16716,12,1,
52800,16716,29,1,
52801,16716,27,1,
52802,16717,14,1,
52803,16717,53,1,
52804,16718,18,1,
52805,16718,27,1,
52806,16718,34,1,D2
52807,16718,45,1,
52808,16719,17,1,
52809,16719,33,1,
52810,16719,33,1,
52811,16719,32,1,
52812,16720,15,1,
52813,16720,50,1,
52814,16721,11,1,
52815,16721,28,1,
52816,16722,5,1,
52817,16722,21,1,
52818,16722,29,1,
52819,16722,22,1,
52820,16723,21,1,
52821,16723,36,1,
52822,16724,20,1,
52823,16724,52,1,
52824,16724,43,1,
52825,16725,3,1,
52826,16725,9,1,D3
52827,16725,34,1,
52828,16726,7,1,
52829,16726,53,1,
52830,16726,33,1,
52831,16727,10,1,
52832,16727,14,1,
52833,16727,22,1,
52834,16727,22,1,
52835,16728,2,1,
52836,16728,50,1,
52837,16728,32,1,
52838,16729,18,1,
52839,16729,32,1,
52840,16729,27,1,
52841,16730,20,1,
52842,16730,41,1,
52843,16731,12,1,
52844,16731,39,1,
52845,16732,18,1,
52846,16732,4,1,
52847,16732,40,1,
52848,16732,28,1,
52849,16732,41,1,
52850,16732,53,1,
52851,16732,31,1,
52852,16733,21,1,
52853,16733,22,1,
52854,16733,23,1,
52855,16733,42,1,
52856,16734,1,1,
52857,16734,31,1,
52858,16734,28,1,
52859,16735,3,1,
52860,16735,51,1,
52861,16736,4,1,
52862,16736,47,1,
52863,16737,7,1,
52864,16737,6,1,
52865,16737,50,1,
52866,16737,22,1,
52867,16738,9,1,
52868,16738,29,1,
52869,16739,20,1,
52870,16739,7,1,
52871,16739,40,1,
52872,16740,11,1,
52873,16740,21,1,
52874,16740,49,1,
52875,16740,51,1,
52876,16740,47,1,
52877,16741,16,1,
52878,16741,41,1,
52879,16741,46,1,
52880,16742,2,1,
52881,16742,34,1,
52882,16743,5,1,
52883,16743,51,1,
52884,16743,40,1,
52885,16744,3,1,
52886,16744,23,1,
52887,16745,6,1,
52888,16745,27,1,
52889,16746,9,1,
52890,16746,32,1,
52891,16747,3,1,
52892,16747,48,1,
52893,16748,1,1,
52894,16748,46,1,
52895,16748,53,1,
52896,16749,13,1,D3
52897,16749,45,1,
52898,16750,15,1,
52899,16750,41,1,
52900,16751,12,1,
52901,16751,34,1,
52902,16752,12,1,
52903,16752,48,1,D3
52904,16752,35,1,
52905,16753,1,1,
52906,16753,47,1,
52907,16754,15,1,
52908,16754,45,1,
52909,16754,24,1,
52910,16754,51,1,
52911,16754,47,1,
52912,16755,20,1,
52913,16755,35,1,
52914,16755,51,1,D2
