Date,Rating,Platform
7/22/2017,7,Google
5/5/2017,8,Yelp
1/9/2017,8,Yelp
1/27/2017,6,Yelp
8/29/2017,8,Facebook
2/4/2017,9,Yelp
9/7/2017,6,Yelp
2/1/2017,6,Yelp
1/17/2017,7,Facebook
10/15/2017,10,Yelp
12/4/2017,7,Facebook
9/25/2017,7,Google
10/4/2017,7,Facebook
5/17/2017,6,Yelp
11/27/2017,7,Google
6/14/2017,7,Yelp
12/29/2017,10,Facebook
3/13/2017,6,Yelp
10/19/2017,8,Google
3/2/2017,10,Google
9/23/2017,9,Facebook
12/1/2017,10,Facebook
6/3/2017,10,Google
7/16/2017,8,Yelp
9/17/2017,9,Facebook
12/30/2017,8,Google
8/2/2017,9,Google
7/13/2017,8,Yelp
10/7/2017,8,Yelp
1/23/2017,9,Google
6/7/2017,10,Google
9/23/2017,8,Facebook
5/23/2017,10,Google
11/1/2017,6,Google
5/18/2017,8,Yelp
6/21/2017,9,Google
1/10/2017,8,Yelp
3/10/2017,9,Google
10/6/2017,7,Google
6/7/2017,7,Google
3/20/2017,9,Facebook
9/26/2017,8,Google
8/14/2017,9,Yelp
5/12/2017,6,Yelp
4/25/2017,9,Google
3/16/2017,10,Yelp
1/3/2017,8,Facebook
11/7/2017,10,Yelp
4/13/2017,10,Facebook
1/5/2017,8,Yelp
1/14/2017,8,Yelp
3/17/2017,7,Google
11/3/2017,10,Facebook
4/4/2017,10,Google
1/16/2017,6,Facebook
12/27/2017,10,Facebook
1/13/2017,10,Google
11/21/2017,8,Facebook
7/6/2017,6,Facebook
7/14/2017,6,Yelp
10/14/2017,9,Google
5/21/2017,7,Yelp
7/2/2017,6,Yelp
4/11/2017,8,Google
9/20/2017,6,Facebook
3/19/2017,9,Facebook
2/28/2017,10,Yelp
11/21/2017,10,Facebook
12/13/2017,9,Yelp
11/29/2017,7,Yelp
3/26/2017,8,Facebook
2/8/2017,7,Facebook
4/14/2017,7,Google
9/16/2017,8,Facebook
7/17/2017,9,Google
6/9/2017,6,Google
3/15/2017,10,Yelp
8/27/2017,10,Facebook
2/24/2017,6,Yelp
8/8/2017,10,Yelp
1/18/2017,8,Facebook
2/15/2017,6,Facebook
10/21/2017,8,Google
4/4/2017,6,Facebook
8/5/2017,10,Yelp
3/13/2017,8,Facebook
1/22/2017,10,Facebook
8/13/2017,9,Facebook
4/27/2017,8,Yelp
2/20/2017,6,Facebook
2/14/2017,8,Yelp
5/21/2017,9,Yelp
12/20/2017,8,Google
12/5/2017,6,Google
1/5/2017,8,Google
9/20/2017,10,Yelp
12/21/2017,9,Google
6/15/2017,9,Google
1/20/2017,6,Facebook
9/24/2017,9,Facebook
1/31/2017,9,Facebook
2/11/2017,10,Facebook
8/12/2017,8,Yelp
5/13/2017,7,Google
10/5/2017,10,Facebook
10/13/2017,10,Yelp
4/1/2017,6,Facebook
7/25/2017,8,Yelp
7/19/2017,8,Yelp
9/1/2017,6,Facebook
10/28/2017,6,Yelp
4/21/2017,9,Google
6/20/2017,7,Facebook
1/11/2017,9,Yelp
6/13/2017,6,Google
4/22/2017,7,Google
2/3/2017,10,Yelp
5/11/2017,10,Yelp
5/16/2017,6,Facebook
4/24/2017,9,Facebook
3/15/2017,7,Facebook
9/19/2017,6,Google
1/19/2017,7,Yelp
8/3/2017,8,Facebook
8/3/2017,7,Facebook
5/3/2017,9,Facebook
12/16/2017,7,Facebook
11/4/2017,9,Facebook
12/22/2017,6,Google
9/10/2017,9,Google
7/9/2017,6,Facebook
1/1/2017,7,Yelp
2/2/2017,9,Facebook
8/24/2017,7,Google
12/19/2017,9,Yelp
4/27/2017,8,Yelp
12/4/2017,6,Facebook
8/1/2017,9,Facebook
12/15/2017,9,Facebook
8/11/2017,10,Facebook
11/4/2017,10,Google
5/9/2017,7,Yelp
6/25/2017,10,Yelp
6/26/2017,9,Facebook
2/3/2017,10,Facebook
10/30/2017,8,Google
1/6/2017,10,Yelp
9/13/2017,6,Google
10/30/2017,6,Google
6/15/2017,6,Facebook
3/20/2017,8,Facebook
12/26/2017,10,Yelp
8/5/2017,9,Facebook
11/5/2017,8,Facebook
11/6/2017,8,Google
10/28/2017,8,Facebook
7/22/2017,7,Google
12/15/2017,10,Facebook
10/23/2017,8,Facebook
3/15/2017,10,Google
4/1/2017,7,Facebook
2/22/2017,6,Yelp
3/3/2017,8,Yelp
2/14/2017,10,Facebook
7/20/2017,9,Facebook
9/1/2017,6,Facebook
2/17/2017,9,Yelp
9/30/2017,7,Yelp
7/4/2017,10,Google
11/8/2017,9,Google
6/10/2017,6,Facebook
7/14/2017,9,Google
5/25/2017,6,Google
7/1/2017,7,Yelp
10/1/2017,6,Facebook
10/28/2017,6,Yelp
9/22/2017,8,Facebook
7/23/2017,6,Facebook
3/29/2017,7,Google
12/26/2017,6,Yelp
8/15/2017,6,Google
5/24/2017,8,Yelp
1/28/2017,10,Yelp
3/9/2017,8,Facebook
1/28/2017,9,Google
1/3/2017,10,Facebook
3/20/2017,9,Facebook
11/19/2017,8,Yelp
2/2/2017,6,Google
10/20/2017,8,Yelp
12/20/2017,7,Facebook
5/5/2017,9,Google
4/19/2017,7,Facebook
8/16/2017,10,Google
8/8/2017,7,Yelp
4/13/2017,6,Yelp
9/9/2017,7,Yelp
11/13/2017,10,Yelp
6/20/2017,6,Google
8/23/2017,7,Facebook
6/14/2017,10,Google
1/26/2017,8,Google
10/27/2017,9,Yelp
9/23/2017,9,Yelp
5/19/2017,7,Facebook
11/12/2017,10,Google
6/25/2017,9,Google
2/2/2017,7,Google
