user_id,page_views,time_on_page,device_type,browser,conversion_rate,bounce_rate,date_visited,time_of_day_visited
1,6386,1772,desktop,Edge,70.57,0.19,11/9/2018,2:08 AM
2,8847,579,mobile,Firefox,48.37,78.27,12/12/2018,12:49 AM
3,6905,1334,tablet,Edge,92.64,7.93,6/18/2018,4:11 PM
4,9172,2565,mobile,Firefox,58.07,67.06,5/9/2018,8:27 PM
5,7249,2600,desktop,Safari,32.07,11.51,7/3/2018,10:16 PM
6,363,2868,desktop,Chrome,66.29,95.39,7/19/2018,7:06 AM
7,7032,2527,tablet,Chrome,72.94,26.99,5/27/2018,2:16 PM
8,1855,709,desktop,Firefox,15.16,90.83,7/20/2018,12:18 PM
9,8061,1347,tablet,Chrome,24.36,29.91,3/22/2018,10:59 AM
10,8529,608,mobile,Edge,58.32,15.42,12/14/2018,5:20 PM
11,1796,770,desktop,Safari,7.44,70.97,4/11/2018,8:49 PM
12,8393,1872,tablet,Edge,41.87,27.12,12/19/2018,3:48 AM
13,5580,2175,mobile,Safari,39.95,94.88,3/16/2018,2:34 PM
14,6243,2787,tablet,Firefox,30.47,93.36,5/3/2018,4:01 AM
15,9600,2898,tablet,Firefox,15.05,99.56,6/15/2018,3:04 AM
16,9184,1988,desktop,Chrome,11.84,42.55,3/28/2018,5:23 AM
17,1098,420,mobile,Safari,32.62,43.96,9/12/2018,7:28 AM
18,3584,173,mobile,Edge,66.95,60.25,6/27/2018,7:54 PM
19,8479,2813,desktop,Firefox,53.55,46.81,9/22/2018,6:17 PM
20,4489,1187,tablet,Chrome,44.42,52.28,2/15/2018,12:03 PM
21,8867,200,tablet,Edge,56.44,6.36,10/31/2018,9:33 AM
22,2292,936,desktop,Safari,77.51,61.02,4/22/2018,1:34 PM
23,1805,417,mobile,Chrome,26.8,87.32,8/20/2018,1:54 AM
24,3257,2404,tablet,Edge,81.92,52.13,8/2/2018,5:38 AM
25,1895,1029,mobile,Chrome,92.86,53.57,9/24/2018,11:12 AM
26,3945,155,desktop,Chrome,41.49,4.73,6/15/2018,2:29 PM
27,1345,1999,tablet,Edge,87.53,56.38,1/6/2018,12:24 AM
28,675,687,mobile,Edge,21.84,32.02,2/12/2018,6:49 PM
29,1195,737,desktop,Chrome,11.09,10.75,1/6/2018,11:34 PM
30,1393,901,tablet,Edge,46.98,25.42,5/22/2018,12:01 PM
31,8563,2018,desktop,Firefox,66.02,45.72,7/12/2018,5:04 AM
32,6956,3424,desktop,Edge,88.29,77.3,9/10/2018,11:56 PM
33,5837,1364,tablet,Chrome,92.33,19.97,7/17/2018,3:59 AM
34,3029,1002,tablet,Firefox,11.21,54.98,10/14/2018,3:02 AM
35,2484,1362,mobile,Chrome,88.76,55.13,8/24/2018,12:53 PM
36,4206,493,desktop,Chrome,0.41,28.1,10/1/2018,7:10 PM
37,2695,2133,mobile,Edge,96.76,3.98,7/5/2018,10:00 PM
38,1066,402,mobile,Firefox,6.84,41.18,6/7/2018,2:19 AM
39,1423,2790,desktop,Edge,19.29,70.97,9/28/2018,4:57 AM
40,6486,2687,mobile,Edge,9.12,24.99,4/26/2018,2:35 PM
41,8700,1690,tablet,Firefox,22.48,8.95,9/28/2018,3:23 PM
42,8090,936,tablet,Edge,53.23,69.56,2/8/2018,5:27 AM
43,9759,391,mobile,Safari,37.74,30.78,12/7/2018,9:37 PM
44,474,1286,tablet,Edge,75.04,68.3,8/8/2018,7:04 AM
45,6202,2707,tablet,Chrome,6.25,6.59,1/4/2018,1:24 PM
46,92,2559,desktop,Safari,60.25,69.83,1/27/2018,3:04 AM
47,9014,2992,tablet,Firefox,81.24,73.8,10/3/2018,6:26 PM
48,7164,1162,mobile,Edge,58.02,94.11,1/10/2018,2:55 PM
49,9807,2460,mobile,Firefox,54.62,75.43,9/29/2018,11:26 AM
50,2744,2885,tablet,Safari,82.58,74.79,9/17/2018,4:27 AM
51,4768,408,mobile,Edge,34.31,73.09,7/7/2018,12:17 PM
52,2368,1116,desktop,Firefox,73.61,54.44,11/7/2018,6:16 AM
53,8833,3586,desktop,Firefox,34.2,14.87,7/5/2018,4:15 PM
54,5134,919,tablet,Firefox,68.12,31.66,11/3/2018,10:18 PM
55,8881,2767,tablet,Edge,79.1,13.23,11/4/2018,10:14 AM
56,5156,2977,tablet,Edge,80.92,16.44,5/25/2018,12:08 PM
57,3003,2657,tablet,Chrome,20.75,78.26,3/26/2018,6:29 AM
58,4627,1799,tablet,Firefox,67.62,78.71,2/3/2018,1:46 PM
59,6300,2765,desktop,Firefox,32.26,11.48,3/9/2018,12:05 AM
60,5178,163,desktop,Firefox,52.35,62.67,11/6/2018,12:00 PM
61,4157,669,desktop,Edge,60.9,85.18,6/1/2018,12:04 PM
62,5925,2321,mobile,Safari,58.72,46.61,8/10/2018,1:21 PM
63,1123,2623,tablet,Chrome,1.56,12.41,11/5/2018,8:01 AM
64,8902,87,mobile,Edge,77.37,46.96,9/20/2018,8:59 PM
65,574,925,desktop,Firefox,58.02,46.79,1/8/2018,9:32 PM
66,493,3369,desktop,Safari,72.58,37.96,5/20/2018,6:54 PM
67,7232,2618,mobile,Chrome,81.02,42.67,3/13/2018,5:28 PM
68,5698,383,tablet,Safari,32.46,42.77,1/22/2018,1:52 PM
69,4925,478,mobile,Firefox,75.95,18.21,3/26/2018,10:57 AM
70,3817,3554,mobile,Firefox,87.88,39.28,1/9/2018,8:43 PM
71,9043,2674,mobile,Safari,0.08,82.09,6/6/2018,5:56 AM
72,6771,1477,mobile,Safari,23.04,22.69,4/27/2018,10:11 AM
73,1857,275,desktop,Chrome,28.36,91.72,8/14/2018,4:41 AM
74,2943,2752,desktop,Firefox,25.35,18.46,10/22/2018,3:09 PM
75,4866,900,tablet,Firefox,2.47,49.03,8/12/2018,2:15 AM
76,4949,1658,tablet,Edge,55.61,23.5,6/4/2018,2:53 PM
77,8625,1549,tablet,Chrome,59.11,62.53,9/25/2018,8:03 AM
78,7546,260,tablet,Edge,37.48,66.25,4/24/2018,8:48 PM
79,5091,3189,tablet,Firefox,67.63,37.34,7/13/2018,2:28 PM
80,6183,2582,tablet,Firefox,6.46,4.42,4/12/2018,4:30 AM
81,4192,2605,desktop,Firefox,89.28,35.44,10/31/2018,9:10 AM
82,2693,226,tablet,Firefox,89.69,59.31,1/18/2018,5:20 AM
83,2362,157,mobile,Firefox,92.91,0.36,9/19/2018,4:49 AM
84,5895,2739,tablet,Safari,79.7,90.13,12/23/2018,6:43 AM
85,4050,245,tablet,Firefox,91.31,78.89,12/19/2018,5:32 PM
86,4560,2551,desktop,Edge,5.13,26.28,1/30/2018,1:42 PM
87,6126,1970,desktop,Chrome,2.39,67.77,8/24/2018,10:42 PM
88,165,960,tablet,Chrome,29.26,66.72,10/20/2018,6:37 PM
89,2195,708,desktop,Chrome,13.69,96.07,11/2/2018,12:36 PM
90,6856,1024,mobile,Firefox,26.13,37.26,1/31/2018,7:59 AM
91,1689,1031,mobile,Firefox,53.97,6.84,6/7/2018,10:15 AM
92,4439,1878,desktop,Firefox,84.33,41.94,9/16/2018,4:54 AM
93,4724,3064,mobile,Safari,46.4,23.84,1/27/2018,3:18 AM
94,6624,89,tablet,Firefox,31.39,32.04,9/29/2018,8:27 AM
95,9997,929,tablet,Firefox,42.25,16.54,5/12/2018,11:56 AM
96,713,1937,tablet,Safari,91.55,12.44,2/20/2018,12:40 PM
97,7711,1539,tablet,Edge,63.39,79.41,12/4/2018,9:38 AM
98,196,555,mobile,Safari,20.17,87.96,10/23/2018,12:49 PM
99,6248,3434,desktop,Edge,46.1,3.48,6/29/2018,2:11 AM
100,9744,663,desktop,Edge,50.45,87.96,7/24/2018,5:39 PM
101,2904,2414,desktop,Safari,89.65,80.7,11/14/2018,11:49 PM
102,5257,2273,mobile,Firefox,71.43,73.07,12/14/2018,9:04 AM
103,4076,504,tablet,Firefox,41.94,2.05,4/24/2018,11:22 PM
104,2439,1057,desktop,Firefox,58.37,30.67,10/7/2018,8:52 AM
105,5557,2445,tablet,Firefox,46.21,92.0,4/5/2018,11:06 AM
106,3535,2844,desktop,Firefox,35.63,33.69,7/21/2018,1:57 PM
107,6449,2926,desktop,Safari,93.81,19.28,1/11/2018,9:00 AM
108,4668,1813,tablet,Safari,4.63,32.7,7/22/2018,12:12 PM
109,6097,2306,tablet,Safari,63.18,73.46,10/3/2018,12:29 PM
110,3948,2689,mobile,Chrome,61.19,77.6,10/7/2018,6:47 AM
111,3193,2061,desktop,Edge,85.02,4.14,9/21/2018,10:11 AM
112,5429,2131,desktop,Edge,86.05,34.88,8/7/2018,4:34 AM
113,3464,1214,tablet,Chrome,45.56,13.51,6/21/2018,9:32 AM
114,3451,1636,mobile,Safari,97.91,45.45,1/17/2018,3:05 AM
115,6407,2802,mobile,Edge,61.45,31.47,9/19/2018,9:03 AM
116,327,65,mobile,Firefox,77.3,83.51,1/2/2018,8:23 AM
117,5944,895,mobile,Safari,4.44,72.09,4/10/2018,7:20 PM
118,6579,3481,mobile,Firefox,18.18,5.16,8/24/2018,6:57 PM
119,3956,2960,mobile,Firefox,1.13,75.33,4/20/2018,2:48 PM
120,45,2474,tablet,Edge,21.95,72.23,10/20/2018,5:42 PM
121,4514,1000,mobile,Firefox,8.64,87.75,6/19/2018,11:32 PM
122,4518,84,desktop,Safari,5.69,1.03,3/7/2018,2:48 AM
123,1724,1198,mobile,Chrome,75.72,88.17,7/21/2018,5:42 AM
124,1731,531,desktop,Chrome,5.13,65.74,9/26/2018,12:30 PM
125,7328,966,mobile,Safari,18.84,93.95,4/22/2018,2:03 PM
126,1902,3399,desktop,Safari,56.55,44.45,11/22/2018,8:03 AM
127,9071,2184,tablet,Chrome,97.43,81.07,7/16/2018,2:55 PM
128,3993,290,tablet,Safari,8.62,53.27,3/9/2018,6:32 PM
129,9324,2342,tablet,Chrome,27.15,18.6,10/29/2018,1:31 AM
130,6938,2164,desktop,Firefox,84.89,6.74,1/1/2018,1:23 PM
131,799,862,tablet,Firefox,59.74,50.25,11/27/2018,10:20 PM
132,1907,1253,tablet,Safari,94.73,97.73,7/8/2018,11:52 AM
133,6701,761,mobile,Firefox,39.48,71.03,7/8/2018,12:50 PM
134,2368,3347,mobile,Edge,66.24,22.42,1/9/2018,6:19 PM
135,1349,2102,mobile,Edge,41.93,50.57,8/9/2018,4:12 PM
136,6005,597,desktop,Firefox,55.07,46.07,1/14/2018,7:50 PM
137,5077,2994,mobile,Chrome,11.29,40.13,8/19/2018,5:51 AM
138,1433,873,desktop,Chrome,35.73,23.13,3/6/2018,9:51 PM
139,6950,3105,tablet,Safari,78.25,22.82,7/17/2018,1:36 PM
140,8005,2169,desktop,Safari,69.06,60.27,5/23/2018,8:11 PM
141,8081,1697,mobile,Edge,67.85,52.23,5/31/2018,6:52 AM
142,4446,138,mobile,Edge,60.26,32.68,11/21/2018,6:07 AM
143,5471,1310,tablet,Chrome,13.65,46.75,5/21/2018,8:10 PM
144,6226,3265,mobile,Safari,50.7,97.98,12/20/2018,4:30 AM
145,544,2928,desktop,Firefox,44.55,32.24,6/20/2018,1:41 AM
146,8748,1376,desktop,Edge,93.95,83.91,2/18/2018,3:50 PM
147,2799,2832,tablet,Safari,2.14,84.95,12/7/2018,11:54 AM
148,1371,2310,desktop,Edge,78.77,26.8,10/4/2018,10:40 AM
149,4365,1502,desktop,Firefox,96.76,10.93,8/24/2018,6:45 PM
150,8758,3300,tablet,Firefox,99.29,42.14,7/22/2018,3:28 PM
151,7072,3011,desktop,Firefox,90.95,80.52,6/20/2018,3:27 PM
152,9710,3384,tablet,Safari,65.91,74.43,10/1/2018,11:28 AM
153,709,2476,tablet,Chrome,90.92,32.16,10/25/2018,4:06 PM
154,1373,1784,mobile,Edge,99.28,56.52,1/31/2018,12:25 PM
155,6511,112,mobile,Safari,33.29,89.09,10/22/2018,12:53 AM
156,1000,1405,desktop,Safari,64.73,50.9,1/30/2018,2:06 AM
157,5604,920,desktop,Firefox,0.41,31.21,12/19/2018,1:06 AM
158,6769,2300,desktop,Edge,12.64,17.95,5/2/2018,11:24 AM
159,1568,1641,desktop,Edge,82.17,4.91,8/6/2018,2:03 PM
160,3959,2702,tablet,Safari,70.85,11.15,8/5/2018,4:47 PM
161,1074,2849,mobile,Chrome,71.14,46.92,2/20/2018,1:08 PM
162,3689,2262,desktop,Chrome,42.66,6.67,11/17/2018,2:41 AM
163,1,2937,mobile,Edge,96.74,77.7,1/4/2018,1:51 AM
164,9333,1845,desktop,Edge,58.55,85.75,2/8/2018,5:14 PM
165,7144,2624,desktop,Chrome,37.98,9.85,12/15/2018,10:45 AM
166,2857,282,mobile,Safari,5.69,53.7,8/12/2018,2:27 AM
167,6273,1528,desktop,Chrome,92.4,52.98,12/29/2018,6:04 AM
168,5189,85,tablet,Safari,24.88,32.79,4/22/2018,10:08 PM
169,4964,2545,mobile,Firefox,75.51,96.83,3/5/2018,1:20 PM
170,4720,3518,mobile,Edge,53.93,26.33,12/29/2018,6:49 AM
171,832,802,mobile,Edge,75.43,92.22,12/28/2018,7:50 AM
172,7506,1666,tablet,Firefox,31.36,10.4,10/11/2018,11:13 PM
173,9355,2946,mobile,Edge,47.05,26.7,3/12/2018,1:51 PM
174,9839,2797,desktop,Chrome,41.59,60.26,8/18/2018,7:55 PM
175,4217,2873,mobile,Edge,27.15,46.99,5/29/2018,6:59 AM
176,4663,3465,tablet,Chrome,59.73,56.59,1/2/2018,9:00 PM
177,517,917,tablet,Chrome,38.82,29.53,11/9/2018,3:34 AM
178,1569,1374,mobile,Chrome,66.39,5.54,1/17/2018,2:11 AM
179,5162,2072,desktop,Edge,17.79,52.68,12/11/2018,7:33 AM
180,6540,1070,tablet,Edge,87.26,28.91,2/25/2018,7:03 PM
181,8955,3536,tablet,Chrome,2.03,44.5,4/1/2018,1:46 AM
182,466,2929,desktop,Chrome,91.14,83.53,6/29/2018,9:17 AM
183,774,1724,tablet,Safari,3.78,2.04,1/30/2018,9:56 PM
184,3676,480,desktop,Edge,59.85,0.37,6/10/2018,10:11 PM
185,4797,1854,tablet,Safari,45.31,77.76,4/23/2018,12:10 AM
186,5227,2380,desktop,Firefox,58.32,2.04,9/4/2018,3:19 AM
187,8387,1631,desktop,Safari,59.3,59.14,4/16/2018,6:40 PM
188,5584,2743,mobile,Safari,69.94,87.5,9/28/2018,2:15 AM
189,7531,3534,desktop,Chrome,96.49,25.88,12/24/2018,1:16 PM
190,8332,1396,tablet,Firefox,45.44,44.11,11/3/2018,3:17 PM
191,5038,294,mobile,Safari,97.99,80.94,11/4/2018,9:40 AM
192,4542,3548,desktop,Edge,26.29,62.19,9/1/2018,8:24 AM
193,4132,1779,desktop,Safari,0.67,19.42,4/9/2018,10:56 AM
194,2599,1649,desktop,Edge,85.44,12.23,2/20/2018,4:10 PM
195,2356,3270,tablet,Edge,41.46,18.46,7/25/2018,2:36 PM
196,2710,2426,mobile,Chrome,73.89,58.63,7/12/2018,1:16 AM
197,8637,212,tablet,Chrome,99.85,20.38,5/8/2018,12:25 PM
198,7849,739,mobile,Safari,47.59,8.01,1/19/2018,10:29 PM
199,1084,1721,desktop,Chrome,89.14,34.97,1/29/2018,10:57 PM
200,7171,2556,tablet,Firefox,13.93,69.84,10/6/2018,7:12 PM
201,1597,2630,desktop,Safari,91.71,25.65,10/29/2018,10:31 PM
202,9720,1452,mobile,Firefox,46.42,61.3,5/25/2018,12:00 PM
203,8513,748,mobile,Chrome,53.16,7.77,4/22/2018,11:50 PM
204,6406,1026,tablet,Firefox,22.6,81.33,1/11/2018,6:24 PM
205,5378,1065,tablet,Chrome,46.33,71.5,9/19/2018,7:13 PM
206,2028,749,desktop,Safari,68.33,56.1,9/26/2018,11:20 AM
207,796,515,mobile,Edge,86.29,54.81,3/18/2018,10:17 AM
208,799,1157,desktop,Safari,68.39,54.9,12/2/2018,9:06 AM
209,797,2739,tablet,Chrome,92.67,98.74,4/10/2018,2:41 PM
210,360,2387,desktop,Safari,15.42,12.91,5/21/2018,4:03 PM
211,7910,1398,desktop,Chrome,7.46,32.2,5/22/2018,6:51 AM
212,533,523,desktop,Edge,13.62,39.89,1/23/2018,1:17 AM
213,5877,3029,tablet,Firefox,97.66,94.7,8/4/2018,12:29 AM
214,2594,857,mobile,Chrome,81.84,14.39,12/27/2018,4:41 PM
215,6101,2087,desktop,Firefox,99.86,8.55,5/2/2018,8:39 AM
216,8794,3542,desktop,Safari,52.35,67.2,2/10/2018,8:34 PM
217,4398,1232,desktop,Safari,13.95,36.12,2/17/2018,5:59 AM
218,8601,1390,desktop,Firefox,54.54,27.75,6/29/2018,6:52 PM
219,9351,2375,desktop,Chrome,51.85,83.83,11/26/2018,5:26 PM
220,264,2257,mobile,Edge,50.61,5.17,4/5/2018,7:57 AM
221,9034,730,desktop,Edge,55.28,25.55,2/14/2018,9:47 PM
222,236,1653,desktop,Chrome,47.63,50.6,7/22/2018,8:38 AM
223,9626,3233,tablet,Firefox,13.15,97.21,7/20/2018,2:49 AM
224,9031,1112,tablet,Safari,7.06,7.2,12/4/2018,8:33 AM
225,6331,1045,mobile,Edge,40.41,28.19,4/26/2018,2:14 PM
226,1413,2464,desktop,Firefox,21.6,69.23,1/6/2018,1:46 PM
227,6773,3282,mobile,Edge,89.13,65.78,8/14/2018,8:25 PM
228,7308,376,mobile,Chrome,17.12,10.0,11/16/2018,6:19 PM
229,3457,1393,tablet,Safari,40.35,43.66,11/5/2018,8:42 AM
230,7267,756,tablet,Firefox,41.38,43.1,12/28/2018,8:17 AM
231,5608,2804,mobile,Chrome,67.27,91.53,2/26/2018,1:25 PM
232,8107,1140,mobile,Safari,0.1,20.57,12/23/2018,8:56 AM
233,3953,3025,tablet,Chrome,82.62,5.72,8/20/2018,11:06 PM
234,7800,73,desktop,Safari,45.13,77.13,7/4/2018,12:15 PM
235,6228,1012,mobile,Edge,94.01,14.39,12/25/2018,11:31 PM
236,1631,17,tablet,Chrome,99.03,76.06,4/20/2018,2:46 AM
237,2070,1094,tablet,Chrome,60.28,65.93,5/12/2018,11:33 PM
238,9055,1644,desktop,Edge,72.36,42.05,10/21/2018,10:43 PM
239,8545,767,desktop,Edge,9.46,91.56,6/16/2018,7:16 AM
240,4534,493,mobile,Firefox,11.61,57.68,10/6/2018,9:38 AM
241,9845,3161,tablet,Chrome,25.91,95.13,1/29/2018,11:57 AM
242,5662,2896,mobile,Edge,69.07,77.63,3/7/2018,10:58 PM
243,3087,2020,mobile,Chrome,81.49,68.42,1/1/2018,7:12 AM
244,9505,1474,desktop,Edge,1.91,6.58,9/3/2018,1:27 PM
245,1611,1736,mobile,Chrome,51.18,59.8,8/27/2018,2:47 AM
246,2639,1337,tablet,Safari,68.8,70.03,4/28/2018,7:36 AM
247,6019,2293,tablet,Chrome,7.99,3.95,4/20/2018,6:35 AM
248,7684,2343,desktop,Firefox,75.89,62.72,10/23/2018,6:21 PM
249,4450,122,mobile,Edge,3.84,36.94,12/25/2018,2:50 PM
250,6734,994,tablet,Edge,49.84,5.02,5/21/2018,8:05 AM
251,3287,3037,desktop,Safari,67.53,26.68,12/28/2018,8:30 PM
252,8493,1374,desktop,Chrome,95.72,0.93,10/9/2018,5:21 AM
253,5504,1473,desktop,Chrome,49.47,71.82,1/27/2018,11:31 AM
254,284,1055,tablet,Firefox,65.88,79.54,2/10/2018,5:27 PM
