Month,LocationID,ItemID,BeginningOnHand,PurchasedQty,SoldQty,AdjustmentsQty
2017-01-01,L01,1,77,0,1,0
2017-02-01,L01,1,76,0,3,0
2017-03-01,L01,1,73,0,4,0
2017-04-01,L01,1,69,0,3,0
2017-05-01,L01,1,66,0,4,0
2017-06-01,L01,1,62,0,7,0
2017-07-01,L01,1,55,0,4,-5
2017-08-01,L01,1,46,0,3,0
2017-09-01,L01,1,43,0,4,0
2017-10-01,L01,1,39,0,1,0
2017-11-01,L01,1,38,0,0,0
2017-12-01,L01,1,38,0,4,0
2018-01-01,L01,1,34,0,1,0
2018-02-01,L01,1,33,0,0,0
2018-03-01,L01,1,33,0,3,0
2018-04-01,L01,1,30,0,10,0
2018-05-01,L01,1,20,0,6,0
2018-06-01,L01,1,14,63,3,0
2018-07-01,L01,1,74,0,5,0
2018-08-01,L01,1,69,0,6,0
2018-09-01,L01,1,63,0,3,0
2018-10-01,L01,1,60,0,5,0
2018-11-01,L01,1,55,0,2,0
2018-12-01,L01,1,53,0,1,-3
2019-01-01,L01,1,49,0,2,-2
2019-02-01,L01,1,45,0,0,0
2019-03-01,L01,1,45,0,3,0
2019-04-01,L01,1,42,0,5,0
2019-05-01,L01,1,37,0,3,0
2019-06-01,L01,1,34,0,4,0
2019-07-01,L01,1,30,0,6,0
2019-08-01,L01,1,24,0,3,1
2019-09-01,L01,1,22,0,4,0
2019-10-01,L01,1,18,0,4,0
2019-11-01,L01,1,14,63,2,0
2019-12-01,L01,1,75,0,1,-3
2020-01-01,L01,1,71,0,2,0
2020-02-01,L01,1,69,0,1,0
2020-03-01,L01,1,68,0,3,0
2020-04-01,L01,1,65,0,7,0
2020-05-01,L01,1,58,0,2,0
2020-06-01,L01,1,56,0,3,0
2020-07-01,L01,1,53,0,9,0
2020-08-01,L01,1,44,0,7,0
2020-09-01,L01,1,37,0,3,0
2020-10-01,L01,1,34,0,1,0
2020-11-01,L01,1,33,0,2,-1
2020-12-01,L01,1,30,0,2,0
2021-01-01,L01,1,28,0,2,0
2021-02-01,L01,1,26,0,2,-3
2021-03-01,L01,1,21,0,6,0
2021-04-01,L01,1,15,62,6,0
2021-05-01,L01,1,71,0,5,0
2021-06-01,L01,1,66,0,5,0
2021-07-01,L01,1,61,0,8,0
2021-08-01,L01,1,53,0,8,0
2021-09-01,L01,1,45,0,8,0
2021-10-01,L01,1,37,0,1,0
2021-11-01,L01,1,36,0,4,0
2021-12-01,L01,1,32,0,1,0
2022-01-01,L01,1,31,0,2,0
2022-02-01,L01,1,29,0,5,0
2022-03-01,L01,1,24,0,7,-4
2022-04-01,L01,1,13,64,4,-4
2022-05-01,L01,1,69,0,9,0
2022-06-01,L01,1,60,0,4,0
2022-07-01,L01,1,56,0,5,0
2022-08-01,L01,1,51,0,7,0
2022-09-01,L01,1,44,0,6,0
2022-10-01,L01,1,38,0,2,0
2022-11-01,L01,1,36,0,5,0
2022-12-01,L01,1,31,0,3,0
2023-01-01,L01,1,28,0,3,0
2023-02-01,L01,1,25,0,2,0
2023-03-01,L01,1,23,0,6,0
2023-04-01,L01,1,17,0,6,0
2023-05-01,L01,1,11,66,0,0
2023-06-01,L01,1,77,0,2,0
2023-07-01,L01,1,75,0,4,0
2023-08-01,L01,1,71,0,4,0
2023-09-01,L01,1,67,0,5,-3
2023-10-01,L01,1,59,0,3,0
2023-11-01,L01,1,56,0,4,0
2023-12-01,L01,1,52,0,3,0
2024-01-01,L01,1,49,0,2,0
2024-02-01,L01,1,47,0,4,0
2024-03-01,L01,1,43,0,6,0
2024-04-01,L01,1,37,0,7,-5
2024-05-01,L01,1,25,0,5,0
2024-06-01,L01,1,20,0,2,-3
2024-07-01,L01,1,15,62,2,-3
2024-08-01,L01,1,72,0,3,0
2024-09-01,L01,1,69,0,9,0
2024-10-01,L01,1,60,0,2,0
2024-11-01,L01,1,58,0,7,-3
2024-12-01,L01,1,48,0,8,0
2025-01-01,L01,1,40,0,11,0
2025-02-01,L01,1,29,0,6,0
2025-03-01,L01,1,23,0,9,0
2025-04-01,L01,1,14,63,7,0
2025-05-01,L01,1,70,0,11,-3
2025-06-01,L01,1,56,0,2,0
2025-07-01,L01,1,54,0,5,0
2025-08-01,L01,1,49,0,7,0
2025-09-01,L01,1,42,0,10,0
2025-10-01,L01,1,32,0,9,0
2025-11-01,L01,1,23,0,8,0
2025-12-01,L01,1,15,62,5,0
2017-01-01,L01,2,68,0,2,0
2017-02-01,L01,2,66,0,1,0
2017-03-01,L01,2,65,0,8,0
2017-04-01,L01,2,57,0,2,0
2017-05-01,L01,2,55,0,7,0
2017-06-01,L01,2,48,0,4,0
2017-07-01,L01,2,44,0,5,-2
2017-08-01,L01,2,37,0,7,0
2017-09-01,L01,2,30,0,4,-5
2017-10-01,L01,2,21,0,1,0
2017-11-01,L01,2,20,0,3,0
2017-12-01,L01,2,17,0,4,0
2018-01-01,L01,2,13,55,3,0
2018-02-01,L01,2,65,0,2,0
2018-03-01,L01,2,63,0,3,0
2018-04-01,L01,2,60,0,8,0
2018-05-01,L01,2,52,0,4,0
2018-06-01,L01,2,48,0,6,0
2018-07-01,L01,2,42,0,9,0
2018-08-01,L01,2,33,0,8,0
