user_id,page_views,time_on_page,device_type,browser,conversion_rate,bounce_rate,date_visited,time_of_day_visited
1,684,1665,mobile,Safari,38.99,58.73,10/23/2023,1:45 PM
2,1495,255,desktop,Safari,59.46,49.17,4/2/2023,8:12 AM
3,509,1927,mobile,Edge,51.86,12.31,6/21/2023,11:58 PM
4,2900,647,desktop,Edge,14.82,36.35,6/3/2023,6:13 AM
5,6355,2106,desktop,Chrome,31.13,45.92,5/18/2023,5:35 PM
6,858,2215,mobile,Edge,53.82,89.71,12/6/2023,6:26 PM
7,2209,215,tablet,Chrome,81.7,2.51,12/6/2023,2:28 AM
8,5034,1822,mobile,Safari,45.35,40.15,2/11/2023,4:31 AM
9,5953,857,mobile,Chrome,63.89,7.82,5/18/2023,4:53 PM
10,8956,1254,desktop,Firefox,20.75,11.74,6/29/2023,11:03 AM
11,1323,1728,mobile,Edge,73.36,28.77,11/16/2023,6:27 PM
12,6346,1027,mobile,Safari,19.03,25.86,2/6/2023,7:12 AM
13,5658,1201,desktop,Chrome,72.24,17.37,2/15/2023,10:01 AM
14,615,2300,mobile,Chrome,92.55,14.38,11/22/2023,7:14 PM
15,8377,1675,mobile,Edge,84.87,94.29,3/10/2023,4:56 PM
16,556,2224,desktop,Firefox,39.58,22.9,8/30/2023,12:19 AM
17,318,192,mobile,Edge,55.13,81.33,2/27/2023,7:44 AM
18,9000,2239,mobile,Chrome,64.87,4.04,8/4/2023,4:00 PM
19,1803,974,mobile,Chrome,20.86,93.81,3/19/2023,2:55 AM
20,2957,3438,mobile,Firefox,60.06,59.19,12/7/2023,1:21 PM
21,2198,1125,mobile,Chrome,76.28,23.78,3/12/2023,1:37 AM
22,2935,2627,desktop,Firefox,24.15,86.57,11/21/2023,1:27 PM
23,334,2032,mobile,Chrome,88.85,16.41,7/5/2023,8:43 PM
24,3180,2320,mobile,Safari,35.66,69.45,1/24/2023,10:05 AM
25,2794,2793,desktop,Safari,71.67,9.17,11/20/2023,3:13 PM
26,8092,1287,mobile,Safari,47.11,16.87,2/28/2023,7:42 PM
27,2658,3200,desktop,Edge,77.09,47.19,4/2/2023,3:28 PM
28,156,2426,tablet,Firefox,61.17,74.67,10/1/2023,5:04 AM
29,1815,2587,desktop,Firefox,85.45,12.72,3/22/2023,12:51 PM
30,802,1591,desktop,Firefox,49.52,54.78,12/4/2023,4:55 PM
31,8758,1744,tablet,Edge,66.83,4.48,11/7/2023,10:00 PM
32,6113,1341,mobile,Safari,78.06,51.41,1/14/2023,1:23 PM
33,979,865,mobile,Edge,92.35,30.51,10/25/2023,3:00 PM
34,1964,1811,desktop,Firefox,55.98,74.49,9/4/2023,1:32 PM
35,992,2357,mobile,Firefox,21.11,77.16,5/28/2023,5:40 AM
36,1530,1027,mobile,Edge,76.66,61.71,12/1/2023,10:04 AM
37,712,1483,mobile,Edge,82.36,77.75,2/28/2023,3:37 PM
38,1766,898,mobile,Chrome,25.07,83.85,7/25/2023,12:20 AM
39,2767,855,desktop,Edge,52.38,93.65,5/26/2023,12:36 PM
40,1629,319,desktop,Safari,80.93,63.66,8/18/2023,11:52 PM
41,899,2314,mobile,Edge,16.69,45.89,12/15/2023,9:11 PM
42,8780,1986,mobile,Firefox,51.64,15.92,9/14/2023,8:56 PM
43,2896,2522,desktop,Safari,67.86,9.59,7/20/2023,3:28 PM
44,2669,1762,desktop,Chrome,20.9,15.41,7/23/2023,3:50 PM
45,2105,2000,desktop,Edge,68.63,29.33,11/21/2023,2:43 AM
46,986,453,mobile,Firefox,82.11,78.84,6/28/2023,6:47 PM
47,2852,188,mobile,Chrome,23.31,42.38,1/21/2023,2:03 PM
48,2489,3421,mobile,Edge,47.21,29.34,10/20/2023,5:36 PM
49,5762,3239,tablet,Chrome,62.91,3.98,12/2/2023,3:57 AM
50,1640,2974,tablet,Firefox,78.83,67.68,6/14/2023,1:04 PM
51,9848,2765,mobile,Edge,27.74,41.85,2/24/2023,11:25 AM
52,2905,300,desktop,Firefox,13.17,41.5,12/13/2023,9:06 AM
53,2231,1882,mobile,Chrome,52.52,59.11,3/26/2023,7:43 PM
54,6838,3188,mobile,Firefox,72.05,23.8,8/20/2023,7:31 PM
55,7867,3150,mobile,Firefox,76.73,67.51,11/27/2023,12:03 PM
56,1652,3195,mobile,Firefox,18.68,67.0,10/2/2023,4:52 PM
57,4045,720,mobile,Edge,65.97,62.42,7/27/2023,8:45 PM
58,1464,419,mobile,Chrome,70.85,89.97,7/7/2023,6:19 PM
59,1511,2474,mobile,Safari,54.13,54.89,7/21/2023,10:56 PM
60,5006,45,mobile,Chrome,52.57,30.58,12/11/2023,12:37 PM
61,3417,1747,tablet,Chrome,65.86,93.59,7/22/2023,9:33 PM
62,494,1053,tablet,Safari,27.23,42.86,1/8/2023,9:33 AM
63,1714,3409,mobile,Edge,72.41,30.16,7/24/2023,5:36 AM
64,7842,2759,mobile,Chrome,31.93,49.87,5/27/2023,11:54 AM
65,5491,2317,desktop,Firefox,29.23,66.53,2/6/2023,9:09 AM
66,62,1553,desktop,Edge,41.52,55.21,7/21/2023,5:35 PM
67,2586,2125,desktop,Chrome,52.06,84.08,4/6/2023,6:42 PM
68,9649,2868,desktop,Firefox,44.74,87.93,6/25/2023,3:42 AM
69,2545,2481,mobile,Safari,84.75,19.75,11/14/2023,7:22 AM
70,5878,2636,mobile,Chrome,85.68,92.98,3/4/2023,7:29 AM
71,6211,2736,mobile,Edge,33.35,28.76,8/17/2023,7:04 AM
72,1849,757,mobile,Safari,51.17,39.86,12/25/2023,6:58 AM
73,1898,157,desktop,Safari,74.16,66.81,2/10/2023,11:16 AM
74,8165,2724,mobile,Edge,85.35,55.43,1/5/2023,2:04 AM
75,4248,2141,desktop,Chrome,88.73,88.71,1/8/2023,2:21 AM
76,455,3164,mobile,Firefox,80.58,84.57,6/1/2023,12:26 PM
77,363,3003,mobile,Firefox,67.02,45.0,6/12/2023,12:55 AM
78,899,347,mobile,Edge,35.18,47.54,12/11/2023,11:20 AM
79,5749,1930,tablet,Chrome,55.1,28.07,4/18/2023,4:37 PM
80,1626,2411,desktop,Safari,83.6,50.9,6/10/2023,4:06 PM
81,1960,1475,mobile,Safari,30.81,69.57,2/8/2023,10:16 AM
82,2006,477,desktop,Edge,45.59,79.69,5/21/2023,12:07 PM
83,4235,958,mobile,Safari,67.61,92.99,3/26/2023,9:01 AM
84,982,3302,mobile,Edge,72.45,79.38,8/3/2023,6:55 PM
85,1867,2235,mobile,Safari,91.86,3.96,9/21/2023,12:53 PM
86,9293,1481,desktop,Chrome,52.74,25.03,11/15/2023,7:57 PM
87,2631,1484,desktop,Chrome,54.93,68.16,6/4/2023,3:01 AM
88,860,157,desktop,Edge,15.87,27.85,3/18/2023,3:04 PM
89,5547,1943,mobile,Chrome,51.34,67.9,1/14/2023,10:36 PM
90,2528,2565,desktop,Edge,37.14,55.12,3/30/2023,3:51 PM
91,2099,3300,tablet,Chrome,91.67,45.9,9/26/2023,7:24 PM
92,8130,58,desktop,Chrome,27.43,37.4,10/6/2023,4:44 AM
93,1749,1162,desktop,Chrome,70.66,27.7,12/7/2023,7:35 PM
94,2654,3179,desktop,Firefox,25.2,60.32,2/6/2023,1:56 PM
95,1521,3479,mobile,Firefox,15.76,18.07,5/25/2023,11:01 PM
96,2067,3367,desktop,Safari,75.97,63.99,12/29/2023,7:54 AM
97,633,2348,tablet,Safari,16.34,39.98,12/9/2023,6:21 PM
98,2030,1706,mobile,Chrome,15.75,54.2,5/1/2023,7:35 AM
99,2525,1034,desktop,Chrome,51.29,94.13,5/4/2023,2:18 PM
100,1037,232,mobile,Firefox,24.39,66.12,8/22/2023,11:09 AM
101,254,1553,tablet,Edge,44.49,67.44,1/19/2023,6:35 PM
102,897,1312,desktop,Edge,35.8,23.31,12/9/2023,9:30 AM
103,1642,1323,desktop,Firefox,82.74,55.11,8/12/2023,1:30 PM
104,3496,195,mobile,Safari,77.2,71.65,11/14/2023,1:01 PM
105,2811,1729,mobile,Edge,26.82,45.7,3/29/2023,8:26 AM
106,54,3419,desktop,Edge,41.63,43.16,7/24/2023,11:55 PM
107,2371,1927,desktop,Firefox,56.82,86.34,3/4/2023,5:55 PM
108,1377,3193,mobile,Chrome,84.44,66.07,1/5/2023,9:11 AM
109,2270,562,mobile,Safari,89.91,84.03,9/28/2023,6:36 PM
110,1459,1325,mobile,Safari,89.49,4.12,1/2/2023,8:55 AM
111,3796,2667,mobile,Firefox,35.67,69.03,2/16/2023,4:42 AM
112,1487,2803,desktop,Firefox,18.47,71.62,5/30/2023,10:19 PM
113,1404,1959,mobile,Safari,33.6,62.74,12/24/2023,9:04 PM
114,2725,3180,desktop,Safari,78.34,17.14,8/12/2023,3:57 AM
115,7741,2323,mobile,Safari,50.01,30.15,10/13/2023,2:49 PM
116,686,2659,mobile,Chrome,55.33,18.41,5/19/2023,11:22 AM
117,2508,3341,desktop,Firefox,85.9,94.81,11/11/2023,1:58 PM
118,5581,2874,mobile,Chrome,64.06,94.93,9/23/2023,11:15 AM
119,1221,458,mobile,Edge,51.77,19.27,8/30/2023,11:25 AM
120,8550,1361,mobile,Chrome,43.65,85.91,8/20/2023,4:53 AM
121,7383,2741,mobile,Safari,84.49,57.62,10/11/2023,7:30 PM
122,6249,289,desktop,Edge,65.04,76.82,9/15/2023,11:59 PM
123,2236,1905,mobile,Chrome,29.31,34.65,1/18/2023,2:09 AM
124,390,2969,mobile,Chrome,71.16,52.96,12/13/2023,2:27 PM
125,1223,2341,desktop,Safari,21.87,7.33,6/9/2023,4:10 PM
126,6295,1178,mobile,Edge,66.01,19.66,10/17/2023,7:29 AM
127,6625,1717,mobile,Edge,17.6,71.74,6/12/2023,1:43 PM
128,2786,1466,tablet,Firefox,88.98,92.5,9/13/2023,3:50 AM
129,7239,684,desktop,Edge,27.91,57.24,2/10/2023,1:16 PM
130,2860,2573,mobile,Firefox,76.18,3.42,8/8/2023,10:42 PM
131,392,2674,mobile,Safari,64.74,6.44,7/29/2023,11:47 PM
132,1692,1672,mobile,Chrome,67.04,2.08,10/1/2023,10:26 PM
133,7874,3084,tablet,Safari,65.01,82.18,5/23/2023,12:38 PM
134,768,1910,mobile,Safari,19.92,64.19,8/3/2023,6:20 AM
135,486,120,desktop,Safari,21.11,86.3,12/2/2023,3:51 PM
136,796,2370,mobile,Safari,59.09,34.14,11/15/2023,7:36 PM
137,8801,3271,mobile,Edge,39.25,73.48,7/4/2023,8:26 PM
138,7095,387,mobile,Firefox,26.38,34.94,4/21/2023,3:45 AM
139,8660,146,mobile,Edge,54.9,74.62,1/30/2023,11:08 PM
140,1348,2609,mobile,Chrome,47.33,21.07,4/5/2023,2:34 AM
141,8705,1181,tablet,Edge,65.44,62.07,5/17/2023,1:32 AM
142,1213,373,mobile,Firefox,75.88,54.18,1/9/2023,8:00 AM
143,8534,1353,mobile,Safari,34.5,69.45,1/15/2023,4:29 AM
144,1188,1915,mobile,Chrome,90.43,87.68,11/27/2023,8:43 PM
145,1068,2766,mobile,Chrome,83.92,46.52,11/14/2023,11:23 PM
146,5120,2057,desktop,Firefox,56.86,9.31,5/12/2023,7:48 PM
147,2871,1879,mobile,Edge,67.29,59.42,11/29/2023,6:45 PM
148,4260,541,mobile,Safari,75.92,94.92,6/1/2023,6:13 PM
149,1033,64,tablet,Chrome,87.3,72.09,7/19/2023,10:08 PM
150,633,3338,mobile,Chrome,74.53,92.46,10/3/2023,1:29 PM
151,2997,424,tablet,Firefox,47.22,51.08,5/22/2023,3:45 AM
152,9321,2215,mobile,Firefox,61.11,6.81,11/15/2023,11:04 AM
153,2723,738,mobile,Safari,57.69,6.93,10/25/2023,6:01 PM
154,4178,88,mobile,Safari,74.16,59.37,7/27/2023,8:16 AM
155,1039,1363,mobile,Chrome,28.56,73.07,11/27/2023,2:57 AM
156,2965,465,mobile,Firefox,39.99,67.81,5/30/2023,5:06 PM
157,2531,988,mobile,Firefox,68.06,1.15,5/6/2023,1:57 PM
158,5942,1273,mobile,Safari,89.36,63.79,2/20/2023,9:21 AM
159,2583,2499,mobile,Safari,19.97,41.64,4/12/2023,8:01 AM
160,613,1246,mobile,Chrome,26.42,77.53,3/3/2023,6:12 PM
161,2961,3134,mobile,Safari,19.19,82.62,7/17/2023,5:02 AM
162,3303,1328,mobile,Firefox,14.68,35.85,9/27/2023,12:47 PM
163,244,282,mobile,Firefox,50.12,64.95,7/20/2023,9:26 PM
164,947,2318,mobile,Chrome,67.13,58.89,12/15/2023,2:14 AM
165,2292,1983,desktop,Edge,92.64,45.21,4/9/2023,10:11 PM
166,3718,2868,mobile,Chrome,46.67,93.38,11/21/2023,3:30 AM
167,603,710,mobile,Chrome,50.53,89.17,4/10/2023,1:58 AM
168,3203,1457,mobile,Chrome,86.13,17.76,8/4/2023,9:38 AM
169,1160,680,mobile,Chrome,67.76,67.57,12/23/2023,8:49 AM
170,9087,301,desktop,Chrome,83.01,76.46,6/28/2023,3:28 AM
171,683,3044,mobile,Firefox,70.62,42.81,6/22/2023,3:05 AM
172,5882,2851,desktop,Edge,59.77,71.46,4/4/2023,4:09 PM
173,5490,1261,mobile,Chrome,66.1,6.51,10/9/2023,6:14 PM
174,1755,2782,mobile,Safari,52.14,84.76,7/20/2023,7:57 PM
175,7350,2535,tablet,Firefox,53.33,0.97,3/20/2023,1:25 PM
176,1265,1320,tablet,Edge,83.71,77.23,11/16/2023,8:31 AM
177,1382,2890,mobile,Safari,28.55,23.36,8/29/2023,7:37 AM
178,2913,2636,mobile,Firefox,52.41,43.73,5/25/2023,7:21 PM
179,977,1445,mobile,Edge,50.43,1.51,4/9/2023,8:22 AM
180,1978,2901,mobile,Safari,47.22,3.16,6/22/2023,2:15 AM
181,584,1482,mobile,Firefox,58.99,72.47,3/13/2023,11:35 AM
182,1614,2768,mobile,Edge,66.45,29.08,3/6/2023,6:23 PM
183,8811,1863,mobile,Safari,47.52,93.86,3/8/2023,11:26 AM
184,6713,3069,tablet,Chrome,67.1,66.09,10/10/2023,4:42 AM
185,4866,2332,tablet,Firefox,45.17,89.37,7/25/2023,2:47 PM
186,2879,2321,tablet,Firefox,71.93,50.44,1/12/2023,3:47 PM
