user_id,page_views,time_on_page,device_type,browser,conversion_rate,bounce_rate,date_visited,time_of_day_visited
1,6610,518,mobile,Firefox,47.02,74.61,1/4/2022,2:58 AM
2,9610,2424,desktop,Safari,34.12,76.18,1/18/2022,9:44 PM
3,1502,1009,tablet,Edge,40.63,47.59,1/9/2022,12:50 AM
4,2705,2592,desktop,Firefox,41.62,53.31,9/5/2022,7:29 PM
5,799,2962,mobile,Chrome,73.83,83.85,2/28/2022,12:32 AM
6,1073,304,mobile,Firefox,18.03,35.04,12/8/2022,5:58 PM
7,2513,2805,tablet,Firefox,43.78,74.93,2/15/2022,4:37 PM
8,2329,298,mobile,Firefox,81.53,41.44,11/27/2022,9:30 AM
9,5182,1060,desktop,Chrome,68.34,66.94,12/2/2022,6:29 AM
10,8451,119,mobile,Edge,47.37,86.39,9/18/2022,2:00 AM
11,2958,1976,mobile,Chrome,15.79,64.11,12/3/2022,12:10 PM
12,2456,2073,desktop,Firefox,15.47,53.34,3/25/2022,2:35 AM
13,161,1458,mobile,Safari,20.95,57.68,2/26/2022,4:09 PM
14,1910,202,mobile,Chrome,61.4,86.65,8/2/2022,8:42 AM
15,4452,1152,desktop,Edge,88.7,75.24,3/21/2022,9:54 AM
16,1952,208,mobile,Firefox,50.25,18.59,10/16/2022,12:48 PM
17,1449,2427,mobile,Chrome,48.13,93.29,8/28/2022,3:02 PM
18,6857,3387,mobile,Chrome,71.08,55.79,11/1/2022,5:28 AM
19,7253,3377,mobile,Chrome,30.34,85.5,8/13/2022,9:17 AM
20,810,1745,mobile,Firefox,12.5,28.56,8/12/2022,3:33 AM
21,2037,1583,mobile,Firefox,85.46,59.44,12/3/2022,8:41 AM
22,493,2918,desktop,Chrome,71.69,78.95,12/25/2022,5:37 AM
23,5206,674,desktop,Safari,24.21,54.0,6/15/2022,2:46 PM
24,1668,917,mobile,Edge,50.43,47.74,1/25/2022,9:51 AM
25,2125,3438,mobile,Edge,16.57,63.6,2/14/2022,10:20 PM
26,1937,311,desktop,Firefox,75.75,52.99,10/27/2022,8:54 AM
27,1796,866,tablet,Chrome,14.37,56.42,2/21/2022,12:12 PM
28,6764,2090,mobile,Edge,38.06,18.39,5/1/2022,11:59 AM
29,7219,2917,mobile,Edge,82.33,24.0,8/4/2022,5:37 AM
30,297,3369,mobile,Chrome,84.14,67.12,6/30/2022,5:09 PM
31,2298,1975,desktop,Edge,74.33,56.92,6/20/2022,4:08 AM
32,726,633,mobile,Chrome,38.81,62.47,10/7/2022,2:45 AM
33,56,2777,mobile,Chrome,37.86,56.1,12/12/2022,1:40 AM
34,657,928,desktop,Safari,25.85,12.73,1/21/2022,1:25 PM
35,4696,3410,tablet,Chrome,37.4,53.99,12/12/2022,12:59 PM
36,5294,2241,mobile,Edge,90.18,52.9,11/20/2022,9:27 AM
37,2416,660,mobile,Safari,70.27,13.53,9/30/2022,2:48 AM
38,1730,1678,mobile,Safari,89.96,63.44,10/17/2022,8:33 AM
39,1587,1163,mobile,Chrome,74.09,74.34,4/20/2022,9:45 AM
40,6263,255,desktop,Edge,64.69,53.99,6/28/2022,2:14 PM
41,4354,1598,mobile,Firefox,88.18,84.55,6/7/2022,12:04 AM
42,1272,1796,tablet,Edge,55.61,42.87,12/16/2022,3:11 PM
43,2007,683,desktop,Edge,59.47,34.78,5/25/2022,6:23 PM
44,1469,884,mobile,Edge,29.25,69.82,3/28/2022,4:59 PM
45,2787,1983,mobile,Edge,74.62,66.63,12/4/2022,12:51 AM
46,6832,2746,desktop,Safari,79.24,67.65,2/23/2022,12:23 AM
47,6897,307,mobile,Chrome,41.06,69.42,3/13/2022,6:21 PM
48,9173,3124,mobile,Safari,63.27,11.99,5/29/2022,9:43 AM
49,1404,2345,mobile,Firefox,22.16,35.12,5/31/2022,6:12 PM
50,1192,336,desktop,Chrome,76.19,89.83,10/1/2022,10:38 PM
51,2140,1409,tablet,Edge,62.21,88.4,6/14/2022,2:17 PM
52,2209,2453,desktop,Firefox,15.29,41.75,10/26/2022,5:07 PM
53,5106,1563,mobile,Safari,18.68,72.28,3/12/2022,12:25 AM
54,230,894,mobile,Firefox,62.43,35.24,12/8/2022,4:20 AM
55,1829,2150,mobile,Safari,50.43,93.42,2/5/2022,9:16 AM
56,2424,939,mobile,Chrome,85.75,82.96,6/28/2022,4:05 PM
57,124,2836,mobile,Firefox,40.63,20.22,10/27/2022,10:55 AM
58,715,1997,mobile,Safari,17.83,61.83,9/13/2022,9:43 PM
59,4146,2220,desktop,Edge,42.11,28.21,11/15/2022,7:04 PM
60,1046,2860,mobile,Edge,84.09,40.59,3/26/2022,4:48 PM
61,1660,3475,mobile,Chrome,23.34,56.83,6/17/2022,4:45 AM
62,7638,2231,mobile,Safari,16.67,59.03,11/9/2022,7:54 PM
63,1572,321,mobile,Edge,36.51,72.08,7/8/2022,9:26 PM
64,7948,2546,mobile,Chrome,57.24,62.59,2/6/2022,10:14 AM
65,861,1457,mobile,Edge,60.99,52.79,9/24/2022,10:49 PM
66,2068,254,desktop,Firefox,31.23,74.85,1/16/2022,2:51 PM
67,1250,1786,desktop,Firefox,67.39,44.87,6/24/2022,4:31 AM
68,2715,1031,desktop,Firefox,38.67,49.22,12/21/2022,12:55 AM
69,7845,1561,mobile,Chrome,58.15,80.77,8/1/2022,5:04 AM
70,919,3215,tablet,Firefox,18.09,38.96,4/11/2022,7:39 PM
