LineItemID,OrderID,ItemID,Qty,DiscountID,Date,LocationID
80142,30306,13,1,,2022-01-01,L03
80143,30306,50,1,,2022-01-01,L03
80144,30306,45,1,,2022-01-01,L03
80145,30306,29,1,,2022-01-01,L03
80146,30444,51,1,D1,2022-01-01,L01
80147,30444,4,1,,2022-01-01,L01
80148,30444,12,1,,2022-01-01,L01
80149,30854,55,1,,2022-01-01,L12
80150,30854,52,1,,2022-01-01,L12
80151,30854,18,1,D3,2022-01-01,L12
80152,30808,6,1,,2022-01-01,L12
80153,30612,55,1,D3,2022-01-01,L12
80154,30612,54,1,,2022-01-01,L12
80155,30612,27,1,,2022-01-01,L12
80156,30612,35,1,,2022-01-01,L12
80157,30087,47,1,,2022-01-01,L04
80158,30462,11,1,,2022-01-01,L10
80159,30462,55,1,,2022-01-01,L10
80160,30462,21,1,,2022-01-01,L10
80161,30462,27,3,,2022-01-01,L10
80162,29636,40,1,,2022-01-01,L07
80163,29636,42,1,,2022-01-01,L07
80164,29636,13,1,,2022-01-01,L07
80165,29636,27,1,,2022-01-01,L07
80166,29374,21,1,,2022-01-01,L03
80167,29650,42,1,,2022-01-01,L07
80168,29650,51,1,,2022-01-01,L07
80169,28952,25,1,,2022-01-01,L08
80170,28952,21,1,,2022-01-01,L08
80171,29530,55,1,,2022-01-01,L05
80172,30729,54,1,,2022-01-01,L12
80173,30729,50,1,,2022-01-01,L12
80174,30729,36,1,,2022-01-01,L12
80175,30729,18,1,,2022-01-01,L12
80176,30535,40,1,,2022-01-01,L03
80177,30535,24,1,,2022-01-01,L03
80178,30535,42,1,,2022-01-01,L03
80179,30600,19,1,,2022-01-01,L12
80180,30600,51,1,,2022-01-01,L12
80181,30576,44,1,,2022-01-02,L12
80182,30576,41,1,,2022-01-02,L12
80183,30225,43,1,,2022-01-02,L07
80184,29559,59,1,,2022-01-02,L01
80185,29559,20,1,,2022-01-02,L01
80186,29559,51,1,,2022-01-02,L01
80187,29559,4,1,,2022-01-02,L01
80188,30848,61,1,,2022-01-02,L12
80189,30848,9,1,,2022-01-02,L12
80190,30848,36,1,,2022-01-02,L12
80191,29570,46,1,,2022-01-02,L09
80192,29570,52,1,,2022-01-02,L09
80193,30728,46,1,,2022-01-02,L12
80194,30728,33,1,,2022-01-02,L12
80195,30842,11,1,,2022-01-02,L12
80196,28873,25,1,,2022-01-02,L05
80197,28873,33,1,D1,2022-01-02,L05
80198,28873,5,1,,2022-01-02,L05
80199,28947,49,1,D3,2022-01-02,L11
80200,28947,41,1,,2022-01-02,L11
80201,28947,24,1,,2022-01-02,L11
80202,29528,50,1,,2022-01-02,L02
80203,30282,50,1,,2022-01-02,L08
80204,30672,47,1,,2022-01-02,L12
80205,30672,1,1,,2022-01-02,L12
80206,30839,48,1,,2022-01-02,L12
80207,30839,44,1,,2022-01-02,L12
80208,30839,20,1,,2022-01-02,L12
80209,30793,22,1,,2022-01-03,L12
80210,29277,36,1,,2022-01-03,L01
80211,29277,49,1,,2022-01-03,L01
80212,29277,60,1,,2022-01-03,L01
80213,30138,38,1,,2022-01-03,L09
80214,30138,27,1,,2022-01-03,L09
80215,30138,2,1,,2022-01-03,L09
80216,30138,19,1,,2022-01-03,L09
80217,28896,52,1,,2022-01-03,L10
80218,29426,15,1,,2022-01-03,L05
80219,29426,18,1,,2022-01-03,L05
80220,29426,3,1,,2022-01-03,L05
80221,29426,20,1,,2022-01-03,L05
80222,29919,39,1,,2022-01-03,L01
80223,29919,43,1,,2022-01-03,L01
80224,29919,47,1,,2022-01-03,L01
80225,30786,31,1,,2022-01-03,L12
80226,30786,11,1,,2022-01-03,L12
80227,30786,20,1,,2022-01-03,L12
80228,30567,12,1,,2022-01-03,L12
80229,30567,10,1,,2022-01-03,L12
80230,30567,2,1,,2022-01-03,L12
80231,29352,3,1,,2022-01-03,L09
80232,29352,2,1,,2022-01-03,L09
80233,29059,38,1,,2022-01-04,L08
80234,29059,26,1,,2022-01-04,L08
80235,29059,18,1,,2022-01-04,L08
80236,29059,42,1,,2022-01-04,L08
80237,30821,5,1,,2022-01-04,L12
80238,30821,28,1,,2022-01-04,L12
80239,29274,8,1,,2022-01-04,L02
80240,29274,58,1,,2022-01-04,L02
80241,29274,50,1,,2022-01-04,L02
