user_id,page_views,time_on_page,device_type,browser,conversion_rate,bounce_rate,date_visited,time_of_day_visited
1,786,3247,tablet,Safari,70.5,14.07,11/10/2021,5:11 AM
2,576,1987,tablet,Firefox,89.37,10.26,3/31/2021,8:14 AM
3,7610,850,tablet,Firefox,87.48,43.22,8/17/2021,9:09 AM
4,7059,2907,desktop,Firefox,67.07,63.78,1/17/2021,10:47 PM
5,7847,1923,mobile,Chrome,94.72,83.54,12/19/2021,10:05 AM
6,6968,86,mobile,Edge,45.7,77.69,2/27/2021,7:09 PM
7,3297,1967,mobile,Edge,85.4,92.5,1/23/2021,12:12 PM
8,3361,849,tablet,Chrome,73.44,11.41,9/26/2021,4:53 PM
9,9848,259,desktop,Safari,74.54,11.8,1/2/2021,1:58 PM
10,7330,856,desktop,Chrome,8.87,70.2,10/31/2021,6:21 PM
11,5260,2411,mobile,Firefox,33.72,84.32,1/28/2021,2:45 AM
12,5246,1327,desktop,Edge,69.44,12.68,10/21/2021,9:38 PM
13,2865,3260,tablet,Firefox,53.68,59.9,1/12/2021,12:59 PM
14,227,291,tablet,Edge,30.04,46.15,5/31/2021,11:03 AM
15,5576,3532,tablet,Firefox,97.06,32.92,11/25/2021,2:42 AM
16,960,1153,tablet,Safari,88.92,99.97,12/25/2021,6:06 PM
17,8545,3261,desktop,Chrome,30.85,9.05,9/24/2021,4:56 PM
18,7607,253,tablet,Chrome,34.52,26.55,8/26/2021,12:28 AM
19,3341,365,mobile,Edge,72.68,36.1,4/11/2021,3:14 AM
20,8955,1869,desktop,Firefox,71.86,11.19,6/9/2021,9:47 AM
21,8619,1304,desktop,Edge,27.16,46.06,9/2/2021,5:20 PM
22,4341,3292,mobile,Edge,73.45,69.46,6/22/2021,12:03 PM
23,7970,104,mobile,Firefox,36.89,81.18,10/27/2021,1:27 PM
24,5791,112,tablet,Edge,11.43,11.53,11/24/2021,5:28 PM
25,3784,3342,desktop,Chrome,49.24,30.92,11/12/2021,1:08 AM
26,9428,1410,tablet,Firefox,4.21,37.91,5/21/2021,1:11 PM
27,9427,1737,mobile,Safari,3.06,43.05,9/20/2021,9:23 PM
28,5333,2770,tablet,Safari,87.47,62.15,7/26/2021,4:32 PM
29,9373,3313,mobile,Edge,13.52,54.4,8/23/2021,8:54 AM
30,5045,1761,tablet,Chrome,67.03,32.44,5/17/2021,8:22 PM
31,8292,1223,tablet,Safari,71.44,9.01,7/20/2021,5:41 AM
32,1673,2016,tablet,Chrome,61.0,67.03,10/21/2021,11:05 AM
33,9612,142,tablet,Edge,65.54,5.58,1/7/2021,7:43 PM
34,8672,2023,desktop,Chrome,53.93,14.84,3/13/2021,12:44 AM
35,5758,1992,tablet,Chrome,24.01,77.29,9/23/2021,2:42 PM
36,2210,637,tablet,Edge,72.53,47.36,12/5/2021,9:21 AM
37,166,2871,mobile,Edge,71.31,1.27,11/4/2021,7:28 PM
38,4380,3284,tablet,Firefox,5.19,81.59,11/16/2021,3:06 AM
39,3378,2766,desktop,Firefox,19.29,8.16,11/22/2021,6:48 PM
40,5649,3536,desktop,Safari,6.89,87.22,7/2/2021,6:28 PM
41,590,1285,tablet,Edge,37.84,63.14,4/9/2021,8:11 AM
42,3974,1062,tablet,Chrome,57.42,45.47,12/3/2021,11:38 PM
43,8589,596,mobile,Firefox,30.07,89.07,7/6/2021,11:36 AM
