LineItemID,OrderID,ItemID,Qty,DiscountID
1,1,20,1,D3
2,1,2,1,
3,1,53,1,
4,2,18,1,
5,2,41,1,
6,3,4,1,
7,3,17,1,
8,3,32,1,
9,3,41,1,D2
10,4,15,1,
11,4,48,1,
12,5,5,1,
13,5,28,1,
14,6,17,1,
15,6,10,1,
16,6,12,1,
17,6,21,1,
18,6,39,1,
19,6,43,1,
20,7,10,1,
21,7,14,1,
22,7,42,1,
23,7,39,1,
24,7,52,1,D1
25,8,12,1,
26,8,34,1,
27,8,46,1,
28,9,1,1,
29,9,22,1,
30,9,28,1,
31,10,11,1,
32,10,32,1,
33,10,38,1,
34,11,17,1,
35,11,10,1,
36,11,36,1,
37,12,14,1,
38,12,41,1,
39,13,19,1,
40,13,36,1,
41,14,13,1,
42,14,37,1,D3
43,15,10,1,
44,15,38,1,
45,16,17,1,
46,16,44,1,
47,16,37,1,
48,17,21,1,
49,17,11,1,
50,17,47,1,
51,18,13,1,
52,18,8,1,
53,18,28,1,
54,19,15,1,
55,19,16,1,
56,19,50,1,
57,19,22,1,
58,19,49,1,
59,20,3,1,
60,20,43,1,
61,20,35,1,
62,21,17,1,D1
63,21,2,1,
64,21,25,1,
65,21,25,1,
66,22,1,1,
67,22,29,1,
68,22,47,1,
69,23,9,1,
70,23,32,1,
71,23,38,1,
72,23,36,1,
73,24,13,1,
74,24,5,1,
75,24,19,1,D1
76,24,27,1,
77,25,16,1,
78,25,44,1,
79,26,8,1,
80,26,37,1,
81,26,25,1,
82,27,5,1,
83,27,23,1,
84,28,4,1,
85,28,4,1,
86,28,20,1,
87,28,50,1,
88,29,20,1,
89,29,4,1,
90,29,25,1,
91,30,2,1,
92,30,21,1,
93,30,23,1,
94,31,5,1,
95,31,45,1,
96,31,36,1,
97,31,47,1,
98,32,5,1,
99,32,41,1,
100,32,36,1,
101,32,30,1,
102,33,12,1,
103,33,32,1,
104,33,26,1,
105,33,37,1,
106,34,6,1,
107,34,38,1,
108,35,12,1,
109,35,4,1,
110,35,3,1,
111,35,29,1,
112,35,51,1,
113,36,18,1,
114,36,26,1,
115,37,21,1,
116,37,51,1,
117,37,34,1,
118,38,20,1,
119,38,42,1,
120,39,16,1,
121,39,48,1,
122,39,44,1,
123,40,19,1,
124,40,18,1,
125,40,34,1,
126,41,17,1,
127,41,50,1,
128,41,27,1,
129,42,12,1,
130,42,21,1,
131,42,46,1,
132,42,32,1,
133,42,24,1,
134,43,19,1,
135,43,53,1,
136,43,29,1,
137,43,49,1,
138,44,11,1,
139,44,6,1,D1
140,44,18,1,
141,44,45,1,
142,45,20,1,
143,45,1,1,
144,45,8,1,
145,45,27,1,
146,45,27,1,
147,45,29,1,D1
148,46,7,1,
149,46,42,1,
150,47,5,1,
151,47,35,1,
152,47,42,1,
153,48,9,1,
154,48,1,1,
155,48,40,1,D1
156,49,15,1,
157,49,47,1,
158,49,29,1,
159,49,49,1,
160,50,13,1,
161,50,46,1,
162,51,5,1,
163,51,23,1,
164,52,14,1,
165,52,31,1,
166,53,16,1,
167,53,28,1,
168,54,4,1,
169,54,43,1,
170,55,3,1,
171,55,53,1,
172,55,48,1,
173,56,21,1,
174,56,25,1,
175,56,47,1,
176,56,47,1,
177,56,36,1,
178,57,14,1,
179,57,45,1,
180,57,47,1,
181,57,31,1,
182,58,12,1,
183,58,15,1,
184,58,9,1,
185,58,50,1,
186,58,22,1,
187,58,24,1,
188,59,7,1,
189,59,35,1,
190,60,5,1,
191,60,21,1,
192,60,51,1,
193,61,13,1,
194,61,52,1,
195,62,20,1,
196,62,3,1,
197,62,35,1,
198,62,34,1,
199,63,15,1,
200,63,38,1,
201,63,23,1,
202,63,33,1,
203,64,15,1,
204,64,32,1,
205,65,4,1,
206,65,4,1,
207,65,24,1,
208,66,7,1,
209,66,24,1,
210,67,10,1,
211,67,14,1,
212,67,45,1,
213,67,31,1,
214,68,17,1,
215,68,52,1,D1
216,69,8,1,D1
217,69,44,1,
218,70,13,1,
219,70,8,1,
220,70,40,1,
221,71,19,1,
222,71,6,1,
223,71,21,1,
224,71,25,1,
225,71,41,1,
226,72,10,1,
227,72,24,1,
228,72,44,1,
229,72,33,1,
230,73,14,1,
231,73,29,1,
232,74,12,1,
233,74,53,1,
234,75,11,1,
235,75,33,1,
236,75,35,1,
237,76,12,1,
238,76,27,1,
239,76,31,1,D2
240,77,17,1,
241,77,11,1,
242,77,35,1,
243,78,17,1,
244,78,41,1,
245,78,49,1,
246,79,16,1,
247,79,21,1,
248,79,47,1,
249,80,14,1,
250,80,4,1,
251,80,11,1,
252,80,24,1,
253,81,7,1,
254,81,4,1,
255,81,10,1,
256,81,40,1,
257,82,19,1,
258,82,24,1,
259,82,25,1,
260,83,4,1,
261,83,38,1,
262,84,2,1,
263,84,35,1,
264,84,40,1,
265,85,4,1,
266,85,13,1,
267,85,41,1,
268,85,40,1,
269,86,7,1,
270,86,1,1,
271,86,29,1,
272,86,36,1,
273,86,39,1,
274,87,3,1,
275,87,52,1,
276,88,4,1,
277,88,29,1,
278,88,39,1,
279,89,8,1,
280,89,39,1,D2
281,89,31,1,
282,89,46,1,
283,89,37,1,
284,90,4,1,
285,90,41,1,
286,91,21,1,
287,91,13,1,
288,91,36,1,
289,91,41,1,
290,91,34,1,
291,92,20,1,
292,92,36,1,
293,92,29,1,
294,93,13,1,
295,93,24,1,
296,93,33,1,
297,94,6,1,
298,94,29,1,
299,95,19,1,
300,95,15,1,
301,95,41,1,
302,95,31,1,
303,95,39,1,
304,96,17,1,
305,96,8,1,
306,96,46,1,
307,96,28,1,
308,97,19,1,
309,97,35,1,
310,97,51,1,
311,97,30,1,
312,97,29,1,
313,98,8,1,
314,98,8,1,
315,98,50,1,
316,99,16,1,
317,99,53,1,
318,99,32,1,
319,100,5,1,
320,100,15,1,
321,100,4,1,
322,100,24,1,
323,100,39,1,
324,101,2,1,
325,101,44,1,
326,101,48,1,
327,101,50,1,
328,101,23,1,
329,102,11,1,
330,102,34,1,
331,102,43,1,
332,103,9,1,
333,103,50,1,
334,104,13,1,D1
335,104,12,1,
336,104,5,1,
337,104,51,1,
338,105,20,1,
339,105,51,1,
340,106,6,1,
341,106,42,1,
342,106,35,1,
343,106,33,1,
344,107,9,1,
345,107,34,1,
346,108,7,1,
347,108,51,1,
348,109,8,1,
349,109,40,1,
350,109,36,1,
351,110,1,1,
352,110,40,1,
353,111,10,1,
354,111,17,1,
355,111,40,1,
356,112,10,1,
357,112,39,1,D1
358,112,45,1,
359,113,16,1,
360,113,37,1,
361,114,12,1,
362,114,25,1,
363,114,44,1,
364,115,15,1,
365,115,35,1,
366,115,47,1,
367,116,8,1,
368,116,49,1,
369,116,44,1,D3
370,116,43,1,
371,116,49,1,
372,117,20,1,
373,117,42,1,
374,117,44,1,
375,118,12,1,
376,118,23,1,
377,118,26,1,
378,119,8,1,
379,119,32,1,
380,120,20,1,
381,120,10,1,
382,120,2,1,
