user_id,page_views,time_on_page,device_type,browser,conversion_rate,bounce_rate,date_visited,time_of_day_visited
1,1023,1183,mobile,Edge,44.86,34.02,1/25/2020,8:19 PM
2,8445,2597,desktop,Firefox,37.62,61.37,8/5/2020,7:05 AM
3,2647,143,tablet,Edge,44.6,21.89,11/12/2020,7:45 PM
4,4996,772,desktop,Safari,2.34,6.95,5/15/2020,10:27 AM
5,590,2304,desktop,Chrome,10.37,11.02,2/12/2020,12:34 PM
6,8630,634,tablet,Chrome,27.51,75.05,12/9/2020,9:01 PM
7,3865,964,mobile,Chrome,79.31,65.11,3/23/2020,10:05 PM
8,5820,2851,tablet,Edge,83.12,79.04,4/28/2020,5:38 PM
9,8273,1528,mobile,Safari,41.29,27.5,5/8/2020,1:16 PM
10,5649,2240,mobile,Safari,69.88,88.97,2/1/2020,6:13 PM
11,5238,3179,tablet,Edge,57.88,7.75,11/28/2020,12:08 AM
12,3716,2895,mobile,Edge,6.84,83.11,6/12/2020,1:46 PM
13,5588,675,desktop,Edge,52.93,24.07,10/28/2020,7:01 PM
14,3905,3077,desktop,Chrome,31.68,49.73,8/28/2020,7:23 AM
15,9907,3546,tablet,Edge,17.51,51.29,10/12/2020,8:37 AM
16,8904,1450,desktop,Safari,79.83,55.94,11/19/2020,7:55 AM
17,9815,898,desktop,Firefox,19.97,35.62,8/28/2020,12:00 AM
18,6005,1727,tablet,Firefox,41.47,58.2,1/25/2020,9:49 PM
19,9145,3363,desktop,Chrome,11.5,30.27,10/17/2020,9:15 PM
20,8562,2432,desktop,Firefox,1.52,12.29,3/23/2020,11:54 PM
21,1106,3150,desktop,Edge,65.44,12.04,11/5/2020,2:06 PM
22,2176,1937,tablet,Safari,58.06,69.48,8/22/2020,2:02 AM
23,6558,2940,mobile,Firefox,14.42,96.96,1/30/2020,5:52 PM
24,6695,2830,tablet,Safari,74.46,55.13,11/2/2020,10:39 AM
25,1071,2913,mobile,Firefox,6.7,43.22,8/22/2020,3:16 AM
26,3063,2695,desktop,Firefox,28.5,18.6,1/15/2020,11:24 AM
27,7486,695,desktop,Chrome,91.87,17.45,2/18/2020,11:40 PM
28,7761,2455,mobile,Safari,96.96,67.66,6/29/2020,2:21 AM
29,1312,604,desktop,Chrome,20.74,92.26,10/22/2020,8:25 AM
30,8458,2569,desktop,Chrome,32.73,62.35,12/16/2020,3:49 AM
31,2120,2728,desktop,Firefox,65.04,6.76,9/10/2020,4:16 PM
32,2551,1196,mobile,Chrome,6.31,65.75,9/25/2020,2:21 AM
33,1934,650,desktop,Safari,42.1,78.49,3/20/2020,1:35 PM
34,7304,2997,tablet,Chrome,43.96,38.48,8/24/2020,5:50 AM
35,6362,2396,desktop,Safari,27.4,72.52,9/1/2020,9:39 PM
36,8961,2533,desktop,Safari,97.71,54.52,9/30/2020,11:09 AM
37,9896,1665,tablet,Chrome,97.72,65.86,7/29/2020,10:43 AM
38,7333,2998,desktop,Chrome,12.62,41.25,12/14/2020,2:46 PM
39,7540,171,desktop,Firefox,67.58,5.91,8/21/2020,1:46 PM
40,434,1562,desktop,Safari,21.98,30.07,10/15/2020,1:53 AM
41,9293,2516,mobile,Chrome,92.77,14.49,1/7/2020,12:03 PM
42,532,1236,mobile,Edge,65.29,78.4,1/14/2020,5:40 PM
43,6396,1798,desktop,Chrome,12.71,48.66,3/10/2020,8:17 PM
44,7612,1496,desktop,Chrome,55.94,13.03,2/11/2020,4:47 PM
45,3010,851,tablet,Chrome,24.7,55.74,7/30/2020,5:25 PM
46,9810,1203,desktop,Safari,54.26,4.51,2/19/2020,7:59 PM
47,4313,1151,mobile,Chrome,14.69,24.31,5/27/2020,8:54 AM
48,2287,1517,tablet,Edge,98.53,30.73,7/9/2020,8:17 AM
49,9685,1556,desktop,Edge,21.93,42.42,6/4/2020,4:11 PM
50,6944,2596,tablet,Safari,73.16,55.61,7/28/2020,9:05 AM
51,3903,1655,desktop,Chrome,44.18,74.49,4/5/2020,1:43 AM
52,6822,1207,desktop,Firefox,47.76,52.06,6/15/2020,12:11 AM
53,5670,268,tablet,Firefox,56.81,75.33,8/28/2020,7:09 AM
54,7498,45,mobile,Chrome,57.41,21.97,1/30/2020,9:39 PM
55,2127,2353,tablet,Edge,75.72,56.99,2/29/2020,8:10 AM
56,2582,3100,desktop,Firefox,1.05,7.57,9/15/2020,6:48 AM
57,6237,2797,mobile,Edge,69.91,81.79,8/28/2020,8:41 PM
58,5413,2207,tablet,Edge,33.86,67.95,12/29/2020,7:42 AM
59,2597,815,desktop,Chrome,86.34,49.36,4/17/2020,8:52 AM
60,6881,2562,desktop,Safari,6.83,28.06,11/9/2020,5:01 AM
61,7926,3077,tablet,Safari,5.66,45.63,1/6/2020,9:20 AM
62,2511,403,mobile,Chrome,0.87,97.53,10/2/2020,4:45 PM
63,8769,3249,mobile,Chrome,39.93,84.09,9/10/2020,6:21 AM
64,123,2249,tablet,Firefox,23.04,60.71,12/1/2020,4:24 PM
65,5731,2624,mobile,Edge,91.19,3.19,6/23/2020,5:29 AM
66,7853,3055,desktop,Edge,44.88,8.8,12/1/2020,4:14 PM
67,6074,1603,mobile,Chrome,14.35,78.87,12/14/2020,2:03 AM
68,4008,1052,desktop,Firefox,61.25,97.65,6/5/2020,1:12 AM
69,4275,1036,tablet,Safari,7.38,67.56,8/29/2020,2:34 PM
70,7388,928,desktop,Safari,34.63,93.18,8/23/2020,2:50 AM
71,4571,1056,tablet,Safari,52.95,87.73,4/6/2020,2:21 AM
72,9036,2374,tablet,Edge,34.92,11.31,11/29/2020,7:37 PM
73,64,2267,tablet,Safari,23.9,82.24,5/26/2020,11:35 PM
74,3288,3353,mobile,Safari,86.27,51.83,10/5/2020,11:54 AM
75,5918,2182,desktop,Firefox,85.73,70.96,7/3/2020,6:42 AM
76,4143,1678,mobile,Firefox,12.97,10.75,3/11/2020,9:52 AM
77,5240,935,mobile,Safari,2.61,22.45,2/9/2020,3:28 PM
78,6143,2829,mobile,Chrome,6.62,74.05,8/18/2020,9:48 PM
79,7660,2875,desktop,Chrome,43.79,68.32,9/18/2020,10:31 AM
80,7910,2544,desktop,Safari,15.92,26.33,12/8/2020,9:43 AM
81,265,1504,desktop,Firefox,2.05,92.98,4/14/2020,12:18 PM
82,5502,1148,tablet,Edge,1.1,85.09,10/5/2020,3:53 AM
83,7766,2143,tablet,Safari,78.25,83.97,12/9/2020,7:51 AM
84,3326,1860,mobile,Chrome,35.24,72.97,1/16/2020,12:04 AM
85,8056,11,mobile,Edge,23.66,26.96,11/1/2020,11:44 PM
86,9437,2443,desktop,Safari,74.58,42.72,4/3/2020,9:35 PM
87,1155,1197,tablet,Safari,33.07,73.7,7/6/2020,9:34 PM
88,4130,2364,desktop,Edge,84.47,99.68,9/15/2020,2:33 PM
89,1940,598,tablet,Firefox,20.47,70.1,9/24/2020,8:00 PM
90,4268,665,mobile,Chrome,40.38,97.04,2/14/2020,12:22 PM
91,2941,481,mobile,Chrome,38.77,21.67,8/30/2020,3:11 AM
92,1824,1669,tablet,Firefox,11.95,53.61,3/26/2020,4:32 AM
93,775,3439,mobile,Edge,28.35,26.62,7/16/2020,9:46 PM
94,7188,3048,desktop,Edge,13.39,31.6,6/27/2020,9:30 AM
95,2957,2431,mobile,Chrome,67.47,71.73,2/7/2020,7:41 PM
96,9114,169,desktop,Firefox,50.15,5.32,12/21/2020,10:28 AM
97,445,1897,mobile,Safari,89.48,28.62,8/20/2020,4:12 AM
98,8545,2023,mobile,Safari,83.09,99.61,4/17/2020,3:23 PM
99,9249,2926,tablet,Firefox,70.36,81.24,3/5/2020,9:25 AM
100,2030,3085,mobile,Chrome,58.04,67.22,10/4/2020,2:13 AM
101,5779,932,desktop,Chrome,66.37,45.81,1/18/2020,4:16 PM
102,6952,1436,mobile,Edge,83.16,44.48,3/16/2020,11:02 PM
103,5517,1891,desktop,Firefox,46.1,85.93,7/21/2020,12:18 AM
104,3551,3495,tablet,Firefox,18.54,34.03,2/26/2020,2:51 AM
105,1561,1689,desktop,Safari,0.93,57.24,11/7/2020,11:30 PM
106,2852,1834,desktop,Chrome,35.86,78.57,8/3/2020,4:00 AM
107,2913,2237,tablet,Chrome,68.12,52.36,9/27/2020,8:28 PM
108,9323,2751,mobile,Firefox,34.3,5.86,10/29/2020,1:34 PM
109,5267,198,mobile,Safari,87.83,63.29,1/16/2020,12:38 AM
110,8138,3513,desktop,Firefox,71.87,52.19,12/6/2020,11:31 AM
111,1999,2153,mobile,Firefox,40.69,69.6,8/26/2020,6:33 AM
112,7826,283,desktop,Firefox,98.94,66.72,4/21/2020,11:50 AM
113,1117,1859,desktop,Firefox,4.64,1.86,10/25/2020,8:29 PM
114,8374,1673,tablet,Safari,24.06,41.26,9/11/2020,12:36 AM
115,8747,1768,mobile,Chrome,51.81,20.11,5/16/2020,1:23 AM
116,3838,2912,tablet,Safari,44.85,57.16,12/2/2020,2:05 AM
117,5238,2821,mobile,Safari,56.32,84.57,7/25/2020,9:30 PM
118,1774,77,mobile,Firefox,85.99,34.18,6/10/2020,7:05 AM
119,5937,843,mobile,Edge,77.64,64.27,2/22/2020,9:20 PM
120,5879,56,desktop,Firefox,5.4,98.04,6/14/2020,5:10 AM
121,9386,1918,mobile,Safari,6.78,78.31,9/11/2020,9:58 PM
122,4955,605,desktop,Firefox,40.09,11.44,9/8/2020,6:29 AM
123,2664,1721,tablet,Edge,60.21,79.84,10/1/2020,10:43 AM
124,1512,1101,mobile,Safari,22.89,32.9,7/17/2020,1:13 AM
