CustomerID,LocationID,Date,Time,EmployeeID,OrderID
57524,L03,2022-01-01,10:27:31,16,29378
57723,L012,2022-01-01,12:30:20,56,29577
57685,L012,2022-01-01,15:18:44,57,29539
57019,L05,2022-01-02,12:30:12,28,28873
57673,L012,2022-01-02,18:13:23,57,29527
57753,L012,2022-01-02,14:24:30,57,29607
57043,L10,2022-01-03,12:46:33,49,28897
57576,L05,2022-01-03,09:01:49,30,29430
57426,L012,2022-01-03,16:52:26,57,29280
57502,L09,2022-01-03,17:05:59,47,29356
57614,L04,2022-01-04,10:23:29,24,29468
57687,L012,2022-01-04,09:43:25,56,29541
57423,L02,2022-01-04,16:35:38,12,29277
57472,L03,2022-01-04,14:44:43,20,29326
57721,L012,2022-01-05,11:14:35,56,29575
57032,L10,2022-01-06,12:08:08,49,28886
57198,L07,2022-01-06,13:11:26,40,29052
57127,L03,2022-01-06,11:59:01,19,28981
57162,L09,2022-01-07,14:47:24,48,29016
57352,L04,2022-01-07,17:29:17,24,29206
57206,L09,2022-01-07,14:51:34,48,29060
57716,L012,2022-01-07,10:07:40,57,29570
57158,L11,2022-01-08,12:29:00,53,29012
57234,L01,2022-01-08,13:38:14,2,29088
57695,L012,2022-01-09,09:41:34,57,29549
57458,L07,2022-01-10,12:29:25,40,29312
57236,L05,2022-01-11,17:14:04,30,29090
57675,L012,2022-01-11,20:42:30,56,29529
57211,L10,2022-01-13,16:22:01,51,29065
57715,L012,2022-01-13,14:57:47,57,29569
57068,L10,2022-01-14,14:22:13,49,28922
57146,L02,2022-01-14,14:23:01,12,29000
57683,L012,2022-01-14,09:17:01,56,29537
57118,L08,2022-01-14,16:34:55,44,28972
57677,L012,2022-01-15,09:56:52,57,29531
57353,L08,2022-01-15,14:35:54,45,29207
57748,L012,2022-01-16,18:51:49,56,29602
57700,L012,2022-01-16,15:23:59,57,29554
57717,L012,2022-01-16,12:53:18,56,29571
57680,L012,2022-01-17,10:25:49,57,29534
57668,L012,2022-01-17,15:23:20,56,29522
57711,L012,2022-01-17,12:38:59,57,29565
57610,L05,2022-01-18,15:23:34,30,29464
57739,L012,2022-01-18,09:57:16,57,29593
57709,L012,2022-01-19,14:20:07,57,29563
57371,L05,2022-01-19,09:29:57,31,29225
57507,L05,2022-01-19,11:18:19,31,29361
57488,L05,2022-01-20,16:58:54,30,29342
57752,L012,2022-01-20,09:18:47,56,29606
57720,L012,2022-01-20,15:36:33,57,29574
57285,L05,2022-01-21,16:47:45,30,29139
57754,L012,2022-01-21,10:13:58,56,29608
57585,L11,2022-01-21,17:42:40,54,29439
57263,L012,2022-01-22,09:16:41,56,29117
57275,L09,2022-01-22,16:53:15,48,29129
57693,L012,2022-01-24,18:52:04,57,29547
57669,L012,2022-01-24,19:10:34,56,29523
57464,L03,2022-01-24,16:18:31,19,29318
57354,L10,2022-01-25,09:38:47,52,29208
57596,L03,2022-01-25,17:19:19,16,29450
57251,L10,2022-01-25,17:58:03,49,29105
57699,L012,2022-01-25,18:47:33,56,29553
57306,L08,2022-01-25,09:28:54,44,29160
57714,L012,2022-01-26,17:17:29,56,29568
57492,L04,2022-01-27,11:46:21,22,29346
57664,L012,2022-01-27,11:32:04,57,29518
57073,L09,2022-01-27,09:19:07,46,28927
57561,L012,2022-01-27,12:52:58,56,29415
57758,L012,2022-01-28,13:35:30,56,29612
57387,L06,2022-01-28,12:31:36,34,29241
57133,L09,2022-01-29,11:17:06,48,28987
57241,L04,2022-01-30,15:01:47,22,29095
57298,L08,2022-01-30,10:32:05,45,29152
57396,L04,2022-01-30,13:18:46,24,29250
57337,L03,2022-01-31,10:42:35,19,29191
57098,L10,2022-01-31,11:36:19,52,28952
57262,L11,2022-01-31,17:45:25,55,29116
57010,L03,2022-01-31,15:58:56,19,28864
57217,L08,2022-02-01,14:24:21,44,29071
57756,L012,2022-02-01,11:17:06,56,29610
57122,L07,2022-02-02,10:20:40,36,28976
57330,L012,2022-02-02,10:13:18,56,29184
57138,L07,2022-02-03,09:33:46,36,28992
57682,L012,2022-02-04,18:52:37,56,29536
57102,L06,2022-02-04,12:13:06,34,28956
57324,L08,2022-02-04,17:05:41,41,29178
57659,L012,2022-02-05,15:21:22,56,29513
57661,L012,2022-02-05,18:02:18,57,29515
57028,L05,2022-02-05,13:26:25,31,28882
57762,L012,2022-02-06,10:48:22,57,29616
57126,L01,2022-02-07,15:38:22,2,28980
57480,L012,2022-02-08,16:19:52,57,29334
57569,L11,2022-02-08,16:21:18,55,29423
57383,L07,2022-02-08,13:13:39,38,29237
57733,L012,2022-02-08,10:18:09,57,29587
57378,L07,2022-02-08,14:23:51,38,29232
57704,L012,2022-02-09,10:59:40,56,29558
57590,L04,2022-02-09,17:45:53,22,29444
57701,L012,2022-02-09,19:29:52,56,29555
57389,L06,2022-02-10,12:33:08,34,29243
57674,L012,2022-02-10,14:03:11,57,29528
57743,L012,2022-02-10,16:03:54,56,29597
57686,L012,2022-02-10,09:20:53,56,29540
57441,L07,2022-02-10,16:01:12,40,29295
57722,L012,2022-02-11,10:39:31,56,29576
57706,L012,2022-02-11,18:42:06,56,29560
57166,L012,2022-02-12,09:50:00,57,29020
57038,L10,2022-02-12,10:49:16,49,28892
57193,L05,2022-02-12,10:30:03,28,29047
57370,L06,2022-02-12,15:57:59,34,29224
57592,L09,2022-02-14,12:48:07,47,29446
57705,L012,2022-02-14,14:38:21,56,29559
57745,L012,2022-02-15,15:44:46,56,29599
57266,L03,2022-02-15,17:49:58,19,29120
57085,L04,2022-02-16,14:41:02,25,28939
57678,L012,2022-02-16,10:34:02,56,29532
57713,L012,2022-02-16,19:42:09,57,29567
57698,L012,2022-02-17,17:39:25,56,29552
57672,L012,2022-02-17,11:31:46,57,29526
57697,L012,2022-02-18,13:11:02,56,29551
57180,L08,2022-02-18,16:47:54,41,29034
57471,L07,2022-02-18,17:05:29,40,29325
57210,L06,2022-02-18,15:14:18,33,29064
57729,L012,2022-02-18,14:54:41,57,29583
57757,L012,2022-02-18,11:46:24,57,29611
57734,L012,2022-02-19,17:09:55,56,29588
57312,L10,2022-02-19,12:17:23,49,29166
57631,L02,2022-02-19,15:21:47,12,29485
57654,L012,2022-02-19,12:54:23,57,29508
57516,L08,2022-02-20,12:50:42,45,29370
57670,L012,2022-02-20,10:08:54,57,29524
57058,L06,2022-02-20,11:51:52,35,28912
57628,L07,2022-02-20,12:24:34,36,29482
57751,L012,2022-02-21,12:19:47,56,29605
57688,L012,2022-02-21,14:44:04,57,29542
57690,L012,2022-02-22,17:15:39,56,29544
57430,L03,2022-02-22,17:17:33,20,29284
57035,L07,2022-02-23,17:24:30,36,28889
57328,L09,2022-02-23,14:41:59,47,29182
57667,L012,2022-02-23,15:13:08,56,29521
57724,L012,2022-02-23,14:01:03,57,29578
57195,L07,2022-02-23,11:47:38,38,29049
57703,L012,2022-02-23,14:50:30,57,29557
57689,L012,2022-02-23,18:30:42,56,29543
57420,L07,2022-02-24,10:01:47,40,29274
57283,L05,2022-02-24,13:20:26,28,29137
57482,L11,2022-02-24,15:02:26,53,29336
57742,L012,2022-02-24,11:45:33,56,29596
57620,L012,2022-02-24,17:04:18,57,29474
57360,L06,2022-02-24,10:31:29,35,29214
57728,L012,2022-02-24,10:07:16,57,29582
57050,L06,2022-02-25,12:15:30,34,28904
57046,L03,2022-02-25,14:30:14,19,28900
57307,L08,2022-02-25,14:56:59,41,29161
57303,L01,2022-02-25,14:58:24,4,29157
57694,L012,2022-02-25,19:28:46,56,29548
57750,L012,2022-02-26,13:03:50,57,29604
57066,L04,2022-02-27,11:33:51,22,28920
57445,L08,2022-02-27,16:13:34,45,29299
57542,L012,2022-02-27,14:32:34,57,29396
57485,L11,2022-02-28,17:59:10,55,29339
57240,L02,2022-02-28,12:08:32,13,29094
57662,L012,2022-02-28,16:49:11,56,29516
57656,L012,2022-02-28,09:04:49,56,29510
57708,L012,2022-03-01,16:55:19,57,29562
57555,L10,2022-03-01,14:31:44,49,29409
57764,L012,2022-03-01,20:27:13,57,29618
57691,L012,2022-03-01,13:19:31,57,29545
57358,L01,2022-03-02,16:46:42,4,29212
57761,L012,2022-03-03,19:37:04,56,29615
57641,L03,2022-03-03,10:43:07,19,29495
57440,L10,2022-03-03,14:38:42,51,29294
57346,L04,2022-03-03,11:13:59,24,29200
57718,L012,2022-03-03,13:52:06,57,29572
57566,L01,2022-03-04,09:21:46,6,29420
57746,L012,2022-03-04,13:37:42,57,29600
57710,L012,2022-03-04,20:53:13,57,29564
57172,L05,2022-03-04,09:34:39,30,29026
57741,L012,2022-03-04,11:11:28,56,29595
57646,L04,2022-03-04,11:24:29,25,29500
57047,L07,2022-03-05,09:31:19,38,28901
57598,L04,2022-03-05,14:23:45,24,29452
57117,L08,2022-03-05,17:29:19,41,28971
57666,L012,2022-03-05,09:35:07,56,29520
57658,L012,2022-03-05,15:37:07,56,29512
57671,L012,2022-03-06,18:29:59,56,29525
57113,L11,2022-03-06,10:36:14,55,28967
57455,L04,2022-03-07,10:19:16,22,29309
57755,L012,2022-03-07,18:13:47,57,29609
57747,L012,2022-03-07,11:20:39,57,29601
57738,L012,2022-03-07,20:20:08,56,29592
57143,L10,2022-03-07,15:07:23,51,28997
57655,L012,2022-03-07,10:52:08,57,29509
57077,L012,2022-03-08,15:28:17,56,28931
57712,L012,2022-03-08,13:26:17,57,29566
57759,L012,2022-03-08,10:57:54,56,29613
57242,L02,2022-03-09,16:00:38,8,29096
57665,L012,2022-03-09,18:14:16,56,29519
57749,L012,2022-03-09,11:26:14,56,29603
57731,L012,2022-03-09,12:52:25,57,29585
57660,L012,2022-03-10,13:59:23,57,29514
57681,L012,2022-03-10,11:16:26,57,29535
57292,L10,2022-03-10,13:41:52,52,29146
57736,L012,2022-03-11,11:39:07,57,29590
57575,L04,2022-03-11,10:31:52,24,29429
57676,L012,2022-03-12,20:25:07,56,29530
57663,L012,2022-03-12,10:49:31,57,29517
